,name,player_efficiency
0,LeBron James,25.5
1,Anthony Davis,27.4
2,Kentavious Caldwell-Pope,11.0
3,Danny Green,10.8
4,Kyle Kuzma,12.2
5,Dwight Howard,18.7
6,Avery Bradley,8.9
7,Alex Caruso,10.8
8,JaVale McGee,19.4
9,Rajon Rondo,12.4
10,Quinn Cook,10.0
11,Troy Daniels,9.0
12,Jared Dudley,7.8
13,Markieff Morris,11.5
14,Dion Waiters,11.0
15,Talen Horton-Tucker,12.3
16,J.R. Smith,0.0
17,Kostas Antetokounmpo,16.3
18,Devontae Cacok,28.6
19,Zach Norvell,-5.6
20,Pascal Siakam,18.7
21,Danny Green,13.0
22,Kyle Lowry,16.5
23,Kawhi Leonard,25.8
24,Serge Ibaka,18.7
25,Fred VanVleet,13.7
26,OG Anunoby,9.8
27,Norman Powell,13.3
28,Delon Wright,14.5
29,Marc Gasol,16.0
30,Jonas Valančiūnas,24.4
31,C.J. Miles,8.0
32,Jeremy Lin,8.2
33,Greg Monroe,13.5
34,Patrick McCaw,8.7
35,Lorenzo Brown,6.3
36,Chris Boucher,22.2
37,Jodie Meeks,16.0
38,Malachi Richardson,0.9
39,Malcolm Miller,13.7
40,Jordan Loyd,16.3
41,Eric Moreland,7.1
42,Klay Thompson,16.0
43,Kevin Durant,26.0
44,Draymond Green,16.1
45,Stephen Curry,28.2
46,Andre Iguodala,11.2
47,Nick Young,10.0
48,Shaun Livingston,11.6
49,David West,20.9
50,Zaza Pachulia,17.0
51,Patrick McCaw,7.4
52,Kevon Looney,14.8
53,Jordan Bell,18.0
54,Omri Casspi,15.5
55,Quinn Cook,12.8
56,JaVale McGee,22.3
57,Damian Jones,6.8
58,Chris Boucher,-28.5
59,Klay Thompson,17.4
60,Stephen Curry,24.6
61,Draymond Green,16.5
62,Kevin Durant,27.6
63,Andre Iguodala,14.3
64,Shaun Livingston,10.1
65,Zaza Pachulia,16.1
66,Ian Clark,13.1
67,Patrick McCaw,8.6
68,David West,16.6
69,JaVale McGee,25.2
70,James Michael McAdoo,13.1
71,Kevon Looney,13.6
72,Matt Barnes,10.7
73,Anderson Varejão,9.4
74,Damian Jones,5.3
75,Briante Weber,5.9
76,LeBron James,27.5
77,Kevin Love,19.0
78,J.R. Smith,12.4
79,Tristan Thompson,15.9
80,Matthew Dellavedova,11.3
81,Kyrie Irving,19.9
82,Richard Jefferson,9.7
83,Timofey Mozgov,14.6
84,Iman Shumpert,8.4
85,Mo Williams,12.4
86,James Jones,11.6
87,Channing Frye,14.9
88,Jared Cunningham,5.9
89,Anderson Varejão,11.2
90,Jordan McRae,14.2
91,Sasha Kaun,12.5
92,Dahntay Jones,10.3
93,Joe Harris,3.4
94,Stephen Curry,28.0
95,Draymond Green,16.4
96,Klay Thompson,20.8
97,Harrison Barnes,13.4
98,Andre Iguodala,12.3
99,Andrew Bogut,15.8
100,Shaun Livingston,12.9
101,Marreese Speights,19.5
102,Leandro Barbosa,15.3
103,David Lee,17.8
104,Justin Holiday,12.1
105,Festus Ezeli,16.2
106,Brandon Rush,0.8
107,James Michael McAdoo,17.7
108,Ognjen Kuzmić,12.9
109,Tim Duncan,21.3
110,Marco Belinelli,15.0
111,Tony Parker,18.9
112,Boris Diaw,14.1
113,Kawhi Leonard,19.4
114,Danny Green,13.9
115,Manu Ginóbili,20.0
116,Patty Mills,18.7
117,Tiago Splitter,16.5
118,Jeff Ayres,11.1
119,Cory Joseph,14.7
120,Matt Bonner,11.2
121,Aron Baynes,9.7
122,Nando De Colo,13.2
123,Austin Daye,13.5
124,Shannon Brown,-0.5
125,Damion James,4.1
126,Othyus Jeffers,8.9
127,Malcolm Thomas,6.6
128,LeBron James,31.6
129,Chris Bosh,20.0
130,Dwyane Wade,24.0
131,Mario Chalmers,13.3
132,Ray Allen,14.7
133,Shane Battier,10.7
134,Norris Cole,7.9
135,Udonis Haslem,9.9
136,Mike Miller,13.5
137,Rashard Lewis,11.1
138,Chris Andersen,17.4
139,Joel Anthony,10.4
140,James Jones,8.1
141,Juwan Howard,9.9
142,Jarvis Varnado,-4.1
143,Josh Harrellson,8.5
144,Terrel Harris,7.2
145,Dexter Pittman,17.0
146,LeBron James,30.7
147,Chris Bosh,18.9
148,Mario Chalmers,13.0
149,Dwyane Wade,26.3
150,Udonis Haslem,10.9
151,Shane Battier,9.7
152,Joel Anthony,10.3
153,Norris Cole,7.9
154,Mike Miller,11.4
155,James Jones,9.7
156,Terrel Harris,6.7
157,Dexter Pittman,10.4
158,Ronny Turiaf,12.6
159,Juwan Howard,3.6
160,Eddy Curry,3.6
161,Mickell Gladness,1.8
162,Jason Kidd,14.4
163,Jason Terry,15.9
164,Dirk Nowitzki,23.4
165,Shawn Marion,17.0
166,Tyson Chandler,18.4
167,J.J. Barea,14.8
168,Brendan Haywood,11.7
169,DeShawn Stevenson,9.8
170,Caron Butler,14.2
171,Brian Cardinal,9.7
172,Peja Stojaković,14.1
173,Rodrigue Beaubois,11.4
174,Ian Mahinmi,13.7
175,Sasha Pavlović,7.8
176,Corey Brewer,17.6
177,Dominique Jones,10.6
178,Alexis Ajinça,12.8
179,Steve Novak,19.6
180,Kobe Bryant,21.9
181,Metta World Peace,12.1
182,Lamar Odom,15.9
183,Pau Gasol,22.9
184,Derek Fisher,9.3
185,Andrew Bynum,20.2
186,Shannon Brown,12.4
187,Jordan Farmar,12.3
188,Josh Powell,6.7
189,Sasha Vujačić,11.4
190,Didier Ilunga-Mbenga,11.6
191,Luke Walton,9.7
192,Adam Morrison,7.4
193,Pau Gasol,22.2
194,Kobe Bryant,24.4
195,Derek Fisher,12.1
196,Lamar Odom,16.6
197,Trevor Ariza,15.5
198,Andrew Bynum,20.0
199,Sasha Vujačić,12.6
200,Jordan Farmar,9.9
201,Luke Walton,11.3
202,Vladimir Radmanović,11.6
203,Josh Powell,9.9
204,Didier Ilunga-Mbenga,13.9
205,Shannon Brown,15.0
206,Chris Mihm,10.0
207,Adam Morrison,2.9
208,Sun Yue,-8.6
209,Paul Pierce,19.6
210,Ray Allen,16.4
211,Kevin Garnett,25.3
212,Rajon Rondo,15.6
213,Kendrick Perkins,13.3
214,James Posey,12.0
215,Eddie House,13.0
216,Tony Allen,10.7
217,Glen Davis,11.3
218,Leon Powe,20.9
219,Brian Scalabrine,5.1
220,Sam Cassell,11.0
221,P.J. Brown,10.2
222,Scot Pollard,8.7
223,Gabe Pruitt,8.3
224,Tim Duncan,26.1
225,Tony Parker,21.4
226,Bruce Bowen,7.1
227,Manu Ginóbili,24.1
228,Michael Finley,13.7
229,Brent Barry,16.6
230,Fabricio Oberto,11.9
231,Francisco Elson,11.2
232,Robert Horry,11.9
233,Beno Udrih,10.3
234,Jacque Vaughn,10.9
235,Matt Bonner,16.4
236,James White,12.1
237,Jackie Butler,9.6
238,Eric Williams,14.8
239,Melvin Ely,6.7
240,Dwyane Wade,27.6
241,Udonis Haslem,13.7
242,Gary Payton,10.7
243,Antoine Walker,14.4
244,James Posey,9.8
245,Jason Williams,15.0
246,Shaquille O'Neal,24.4
247,Alonzo Mourning,19.4
248,Jason Kapono,9.0
249,Shandon Anderson,6.2
250,Derek Anderson,8.7
251,Wayne Simien,11.5
252,Michael Doleac,9.9
253,Gerald Fitch,10.2
254,Dorell Wright,13.2
255,Earl Barron,-2.8
256,Matt Walsh,-2.4
257,Tony Parker,18.0
258,Bruce Bowen,9.5
259,Tim Duncan,27.0
260,Manu Ginóbili,22.3
261,Rasho Nesterović,12.0
262,Brent Barry,14.0
263,Robert Horry,14.9
264,Devin Brown,14.6
265,Beno Udrih,14.3
266,Malik Rose,14.0
267,Tony Massenburg,8.5
268,Nazr Mohammed,14.2
269,Mike Wilks,11.0
270,Sean Marks,8.7
271,Glenn Robinson,17.2
272,Dion Glover,14.0
273,Linton Johnson,-3.4
274,Ben Wallace,17.3
275,Richard Hamilton,16.8
276,Chauncey Billups,18.6
277,Tayshaun Prince,13.3
278,Mehmet Okur,18.3
279,Corliss Williamson,14.4
280,Elden Campbell,13.8
281,Chucky Atkins,10.1
282,Bob Sura,13.0
283,Rasheed Wallace,18.8
284,Lindsey Hunter,9.0
285,Mike James,14.3
286,Darvin Ham,8.3
287,Tremaine Fowlkes,6.5
288,Željko Rebrača,9.6
289,Darko Miličić,6.1
290,Hubert Davis,-7.7
291,Tim Duncan,26.9
292,Tony Parker,16.5
293,Bruce Bowen,9.1
294,Stephen Jackson,14.5
295,Malik Rose,16.1
296,David Robinson,17.8
297,Manu Ginóbili,14.7
298,Steve Smith,12.0
299,Steve Kerr,11.4
300,Kevin Willis,12.5
301,Danny Ferry,5.1
302,Speedy Claxton,15.9
303,Anthony Goldwire,2.5
304,Mengke Bateer,-8.4
305,Devin Brown,13.8
306,Kobe Bryant,23.2
307,Shaquille O'Neal,29.7
308,Rick Fox,11.3
309,Robert Horry,14.5
310,Derek Fisher,14.0
311,Devean George,12.6
312,Samaki Walker,14.5
313,Lindsey Hunter,9.4
314,Stanislav Medvedenko,15.6
315,Mitch Richmond,10.7
316,Mark Madsen,12.7
317,Brian Shaw,11.8
318,Jelani McCoy,9.5
319,Joe Crispin,5.0
320,Mike Penberthy,31.3
321,Shaquille O'Neal,30.2
322,Kobe Bryant,24.5
323,Horace Grant,14.3
324,Rick Fox,13.8
325,Brian Shaw,10.9
326,Robert Horry,11.0
327,Isaiah Rider,11.8
328,Ron Harper,12.5
329,Mike Penberthy,11.2
330,Derek Fisher,14.0
331,Mark Madsen,9.2
332,Devean George,6.2
333,Tyronn Lue,8.7
334,Greg Foster,9.5
335,Stanislav Medvedenko,21.8
336,Shaquille O'Neal,30.6
337,Glen Rice,16.2
338,Kobe Bryant,21.7
339,Ron Harper,12.0
340,A.C. Green,11.2
341,Derek Fisher,9.6
