,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
2,Steven Adams,NOP,2021,34,27.8,0.614,0.0,9.0,2.0,0.9,0.6,8.2,C,16.2,0.597,-0.9,0.10800000000000001
4,LaMarcus Aldridge,SAS,2021,21,25.9,0.46399999999999997,0.36,4.5,1.7,0.4,0.9,13.7,C,15.0,0.545,-1.2,0.07400000000000001
7,Grayson Allen,MEM,2021,23,24.0,0.409,0.40700000000000003,2.8,2.2,1.0,0.1,9.3,SG,12.5,0.5920000000000001,-0.2,0.11
8,Jarrett Allen,CLE,2021,35,27.9,0.669,0.5,9.9,1.7,0.5,1.7,13.5,C,23.6,0.7140000000000001,3.4,0.21899999999999997
10,Kyle Anderson,MEM,2021,31,27.5,0.47600000000000003,0.376,6.1,3.5,1.2,0.7,13.4,PF,17.5,0.585,2.9,0.142
14,Carmelo Anthony,POR,2021,35,25.5,0.41100000000000003,0.38799999999999996,3.4,1.4,0.9,0.8,13.9,PF,14.8,0.53,-2.2,0.057
15,Cole Anthony,ORL,2021,25,26.7,0.375,0.325,4.4,3.8,0.7,0.4,11.0,PG,10.2,0.469,-4.1,-0.008
19,Deni Avdija,WAS,2021,31,21.6,0.442,0.37,4.7,1.3,0.7,0.2,6.2,SF,8.5,0.551,-3.4,0.047
22,Dwayne Bacon,ORL,2021,37,24.8,0.413,0.34600000000000003,2.9,1.0,0.6,0.1,10.4,SG,9.5,0.509,-4.9,0.026000000000000002
23,Marvin Bagley III,SAC,2021,35,26.0,0.496,0.366,7.6,1.0,0.5,0.5,14.0,PF,16.0,0.5489999999999999,-3.5,0.052000000000000005
24,LaMelo Ball,CHO,2021,36,28.9,0.444,0.374,6.0,6.4,1.6,0.4,15.6,PG,18.3,0.556,2.8,0.11599999999999999
27,Desmond Bane,MEM,2021,29,23.1,0.48200000000000004,0.456,2.9,1.3,0.7,0.1,9.9,SG,11.9,0.618,-1.6,0.09
30,Will Barton,DEN,2021,33,29.9,0.442,0.38799999999999996,4.1,3.1,0.8,0.4,11.6,SF,11.3,0.537,-2.5,0.053
32,Nicolas Batum,LAC,2021,36,29.1,0.474,0.44299999999999995,4.7,2.4,1.2,0.4,8.9,SF,13.4,0.644,1.3,0.142
33,Aron Baynes,TOR,2021,34,20.0,0.428,0.23600000000000002,5.7,1.0,0.3,0.4,6.4,C,9.8,0.485,-5.1,0.042
40,Dāvis Bertāns,WAS,2021,31,25.9,0.392,0.386,3.1,0.9,0.6,0.2,11.6,PF,11.3,0.603,-1.4,0.085
41,Patrick Beverley,LAC,2021,29,23.8,0.442,0.42,3.7,2.1,0.9,0.8,8.3,PG,13.1,0.608,0.7,0.134
42,Saddiq Bey,DET,2021,35,23.1,0.40700000000000003,0.396,3.9,1.1,0.6,0.0,10.0,SF,12.4,0.5820000000000001,-0.8,0.09
44,Khem Birch,ORL,2021,36,20.1,0.478,0.28600000000000003,5.5,1.0,0.6,0.7,5.8,C,15.2,0.547,-1.9,0.13
46,Bismack Biyombo,CHO,2021,34,22.1,0.568,0.0,5.6,1.4,0.3,1.1,5.5,C,12.0,0.565,-3.0,0.094
48,Eric Bledsoe,NOP,2021,36,29.4,0.429,0.377,3.5,3.8,0.8,0.3,12.3,SG,12.3,0.5429999999999999,-2.3,0.049
50,Bogdan Bogdanović,ATL,2021,12,22.2,0.361,0.319,3.4,2.3,0.4,0.2,8.6,SG,8.8,0.506,-2.9,0.025
57,Chris Boucher,TOR,2021,37,23.8,0.54,0.447,6.6,1.0,0.6,1.9,14.0,C,23.5,0.6659999999999999,4.1,0.22699999999999998
64,Miles Bridges,CHO,2021,36,26.7,0.491,0.377,5.8,2.1,0.7,0.7,9.9,PF,12.6,0.606,-1.4,0.084
66,Dillon Brooks,MEM,2021,30,29.0,0.39899999999999997,0.322,3.1,2.6,1.4,0.5,15.7,SF,10.9,0.49,-4.6,0.008
67,Bruce Brown,BRK,2021,34,21.1,0.574,0.265,4.6,1.4,0.8,0.3,8.4,PG,15.6,0.618,-0.9,0.13699999999999998
70,Sterling Brown,HOU,2021,33,22.6,0.43799999999999994,0.39799999999999996,4.4,1.7,0.9,0.2,7.4,SG,11.8,0.584,-1.2,0.09699999999999999
72,Jalen Brunson,DAL,2021,32,25.1,0.537,0.408,3.5,3.3,0.6,0.0,13.0,PG,17.7,0.65,0.7,0.146
74,Reggie Bullock,NYK,2021,33,26.1,0.40399999999999997,0.37,3.3,1.3,0.6,0.2,8.5,SF,8.8,0.537,-2.2,0.067
76,Alec Burks,NYK,2021,26,24.8,0.414,0.39799999999999996,4.3,2.3,0.7,0.2,11.3,SG,13.9,0.5589999999999999,0.2,0.11
80,Kentavious Caldwell-Pope,LAL,2021,33,26.2,0.43799999999999994,0.402,2.4,1.4,0.8,0.3,8.7,SG,9.7,0.585,-2.1,0.096
83,Clint Capela,ATL,2021,33,29.6,0.589,0.0,14.3,0.9,0.8,2.3,14.5,C,24.1,0.5920000000000001,2.4,0.188
86,Wendell Carter Jr.,CHI,2021,24,26.4,0.529,0.33299999999999996,7.8,2.2,0.7,0.9,12.1,C,16.2,0.593,-1.7,0.11900000000000001
87,Michael Carter-Williams,ORL,2021,18,26.6,0.415,0.25,4.8,4.3,0.6,0.5,9.4,SG,10.9,0.48100000000000004,-3.8,0.02
93,Brandon Clarke,MEM,2021,28,26.8,0.518,0.326,5.9,1.6,1.2,0.6,12.0,PF,16.8,0.561,0.6,0.138
94,Jordan Clarkson,UTA,2021,36,26.0,0.447,0.37,4.0,2.3,0.9,0.2,17.9,SG,18.7,0.581,2.7,0.13699999999999998
