,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
0,Steven Adams,OKC,2020,63,26.7,0.5920000000000001,0.33299999999999996,9.3,2.3,0.8,1.1,10.9,C,20.5,0.604,2.9,0.185,1
6,Jarrett Allen,BRK,2020,70,26.5,0.649,0.0,9.6,1.6,0.6,1.3,11.1,C,20.7,0.664,2.3,0.212,1
16,OG Anunoby,TOR,2020,69,29.9,0.505,0.39,5.3,1.6,1.4,0.7,10.6,SF,13.2,0.6,1.2,0.134,1
18,Trevor Ariza,TOT,2020,53,28.2,0.43799999999999994,0.37200000000000005,4.6,1.7,1.3,0.3,8.0,SF,11.0,0.593,-0.5,0.081,0
19,D.J. Augustin,ORL,2020,57,24.9,0.39899999999999997,0.348,2.1,4.6,0.6,0.0,10.5,PG,14.0,0.5539999999999999,-1.6,0.098,1
30,Nicolas Batum,CHO,2020,22,23.0,0.34600000000000003,0.28600000000000003,4.5,3.0,0.8,0.4,3.6,SF,9.2,0.46299999999999997,-1.9,0.055,0
31,Aron Baynes,PHO,2020,42,22.2,0.48,0.35100000000000003,5.6,1.6,0.2,0.5,11.5,C,15.2,0.581,-1.0,0.107,0
32,Kent Bazemore,TOT,2020,68,24.8,0.375,0.344,4.3,1.4,1.1,0.6,8.8,SF,9.3,0.499,-3.1,0.017,0
35,Malik Beasley,TOT,2020,55,22.0,0.425,0.38799999999999996,2.7,1.4,0.7,0.1,11.2,SG,12.7,0.546,-2.1,0.049,0
38,DeAndre' Bembry,ATL,2020,43,21.3,0.456,0.231,3.5,1.9,1.3,0.4,5.8,SG,9.6,0.5,-2.5,0.012,0
40,Dāvis Bertāns,WAS,2020,54,29.3,0.434,0.424,4.5,1.7,0.7,0.6,15.4,PF,15.5,0.628,0.9,0.107,0
41,Patrick Beverley,LAC,2020,51,26.3,0.431,0.38799999999999996,5.2,3.6,1.1,0.5,7.9,PG,12.5,0.56,2.2,0.128,1
45,Nemanja Bjelica,SAC,2020,72,27.9,0.48100000000000004,0.419,6.4,2.8,0.9,0.6,11.5,PF,15.7,0.602,1.7,0.127,0
46,Eric Bledsoe,MIL,2020,61,27.0,0.475,0.344,4.6,5.4,0.9,0.4,14.9,PG,17.6,0.5710000000000001,1.8,0.157,1
47,Bogdan Bogdanović,SAC,2020,61,29.0,0.44,0.37200000000000005,3.4,3.4,1.0,0.2,15.1,SG,15.1,0.565,0.6,0.084,0
57,Ky Bowman,GSW,2020,45,22.6,0.41700000000000004,0.308,2.7,2.9,1.0,0.2,7.4,PG,9.1,0.494,-4.3,-0.003,0
58,Avery Bradley,LAL,2020,49,24.2,0.444,0.364,2.3,1.3,0.9,0.1,8.6,SG,8.9,0.537,-2.5,0.062,1
63,Mikal Bridges,PHO,2020,73,28.0,0.51,0.361,4.0,1.8,1.4,0.6,9.1,SF,12.9,0.62,0.8,0.113,0
68,Dillon Brooks,MEM,2020,73,28.9,0.40700000000000003,0.358,3.3,2.1,0.9,0.4,16.2,SG,11.3,0.51,-4.1,0.027000000000000003,0
69,Bruce Brown,DET,2020,58,28.2,0.44299999999999995,0.344,4.7,4.0,1.1,0.5,8.9,PG,11.9,0.518,-1.2,0.062,0
74,Troy Brown Jr.,WAS,2020,69,25.8,0.439,0.341,5.6,2.6,1.2,0.1,10.4,SF,13.7,0.524,-1.3,0.065,0
76,Thomas Bryant,WAS,2020,46,24.9,0.581,0.40700000000000003,7.2,1.8,0.5,1.1,13.2,C,21.1,0.649,2.2,0.16399999999999998,0
77,Reggie Bullock,NYK,2020,29,23.6,0.402,0.33299999999999996,2.3,1.4,0.9,0.1,8.1,SG,9.3,0.502,-3.0,0.036000000000000004,0
79,Alec Burks,TOT,2020,66,26.6,0.418,0.385,4.3,2.9,0.9,0.3,15.0,SF-SG,16.7,0.561,0.5,0.10099999999999999,0
84,Kentavious Caldwell-Pope,LAL,2020,69,25.5,0.467,0.385,2.1,1.6,0.8,0.2,9.3,SG,11.0,0.584,-0.8,0.102,1
90,Wendell Carter Jr.,CHI,2020,43,29.2,0.534,0.207,9.4,1.2,0.8,0.8,11.3,C,15.5,0.59,-2.4,0.127,0
93,Willie Cauley-Stein,TOT,2020,54,20.3,0.579,0.0,5.8,1.3,0.9,1.1,7.2,C,17.0,0.589,0.5,0.128,0
95,Wilson Chandler,BRK,2020,35,21.0,0.40399999999999997,0.306,4.1,1.1,0.5,0.3,5.9,PF,7.4,0.531,-2.7,0.046,1
99,Marquese Chriss,GSW,2020,59,20.3,0.545,0.205,6.2,1.9,0.7,1.1,9.3,PF,19.5,0.604,0.6,0.136,0
101,Brandon Clarke,MEM,2020,58,22.4,0.618,0.359,5.9,1.4,0.6,0.8,12.1,PF,20.9,0.6629999999999999,3.1,0.183,0
102,Jordan Clarkson,TOT,2020,71,24.0,0.45399999999999996,0.368,2.6,1.9,0.6,0.2,15.2,SG,17.3,0.574,1.1,0.096,0
109,Mike Conley,UTA,2020,47,29.0,0.409,0.375,3.2,4.4,0.8,0.1,14.4,PG,14.1,0.537,0.3,0.08900000000000001,1
117,Jae Crowder,TOT,2020,65,28.8,0.401,0.34299999999999997,5.9,2.5,1.1,0.4,10.5,SF-PF,12.5,0.5529999999999999,-0.1,0.098,0
118,Jarrett Culver,MIN,2020,63,23.9,0.40399999999999997,0.299,3.4,1.7,0.9,0.6,9.2,SG,9.6,0.467,-4.0,-0.004,0
119,Seth Curry,DAL,2020,64,24.6,0.495,0.452,2.3,1.9,0.6,0.1,12.4,SG,15.5,0.643,0.8,0.13,1
132,Donte DiVincenzo,MIL,2020,66,23.0,0.455,0.336,4.8,2.3,1.3,0.3,9.2,SG,14.1,0.557,1.3,0.135,1
134,Luguentz Dort,OKC,2020,36,22.8,0.39399999999999996,0.297,2.3,0.8,0.9,0.1,6.8,SF,7.6,0.506,-3.7,0.049,1
138,Goran Dragić,MIA,2020,59,28.2,0.441,0.36700000000000005,3.2,5.1,0.7,0.2,16.2,PG,16.3,0.573,-0.1,0.102,1
141,Kris Dunn,CHI,2020,51,24.9,0.444,0.259,3.6,3.4,2.0,0.3,7.3,PG,12.1,0.51,-0.6,0.085,0
145,Joel Embiid,PHI,2020,51,29.5,0.47700000000000004,0.331,11.6,3.0,0.9,1.3,23.0,C,25.8,0.59,4.7,0.192,1
151,Derrick Favors,NOP,2020,51,24.4,0.617,0.14300000000000002,9.8,1.6,0.6,0.9,9.0,C,18.5,0.62,1.0,0.162,0
153,Terrance Ferguson,OKC,2020,56,22.4,0.355,0.292,1.3,0.9,0.5,0.3,3.9,SF,3.7,0.48100000000000004,-4.5,0.021,1
156,Dorian Finney-Smith,DAL,2020,71,29.9,0.466,0.376,5.7,1.6,0.6,0.5,9.5,PF,12.3,0.595,-0.2,0.11,1
157,Bryn Forbes,SAS,2020,63,25.1,0.41700000000000004,0.38799999999999996,2.0,1.7,0.5,0.0,11.2,SG,11.1,0.57,-2.7,0.047,0
163,Markelle Fultz,ORL,2020,72,27.7,0.465,0.267,3.3,5.1,1.3,0.2,12.1,PG,14.3,0.517,-1.8,0.065,1
166,Danilo Gallinari,OKC,2020,62,29.6,0.43799999999999994,0.405,5.2,1.9,0.7,0.1,18.7,PF,19.5,0.612,3.3,0.166,1
