,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
3,Bam Adebayo,MIA,2021,33,33.9,0.563,0.33299999999999996,9.5,5.4,0.9,1.0,19.2,C,22.0,0.631,4.4,0.193
11,Giannis Antetokounmpo,MIL,2021,35,34.0,0.557,0.285,11.7,5.9,1.3,1.4,29.0,PF,29.0,0.618,8.1,0.233
16,OG Anunoby,TOR,2021,23,33.4,0.479,0.395,5.7,1.7,1.6,0.7,13.8,SF,13.8,0.607,0.2,0.09699999999999999
20,Deandre Ayton,PHO,2021,35,31.1,0.594,0.235,11.4,1.7,0.3,1.1,14.5,C,18.9,0.624,-0.2,0.175
25,Lonzo Ball,NOP,2021,33,31.8,0.428,0.387,4.2,5.1,1.3,0.5,14.5,PG,15.0,0.563,0.7,0.083
28,Harrison Barnes,SAC,2021,33,35.7,0.49200000000000005,0.392,6.1,3.6,0.8,0.2,16.7,PF,16.3,0.624,0.3,0.106
29,RJ Barrett,NYK,2021,37,33.2,0.44299999999999995,0.35,6.0,2.9,0.6,0.2,16.5,SG,13.4,0.52,-2.0,0.067
35,Darius Bazley,OKC,2021,36,30.7,0.392,0.29,7.5,1.5,0.5,0.6,11.9,PF,9.3,0.48700000000000004,-4.1,-0.004
36,Bradley Beal,WAS,2021,33,35.7,0.47600000000000003,0.32799999999999996,5.4,4.7,1.4,0.5,32.5,SG,24.5,0.591,4.7,0.142
37,Malik Beasley,MIN,2021,33,33.1,0.455,0.406,4.6,2.5,0.8,0.2,20.5,SG,15.9,0.5820000000000001,0.3,0.071
51,Bojan Bogdanović,UTA,2021,36,30.6,0.43200000000000005,0.405,3.9,1.9,0.5,0.1,15.7,SF,13.3,0.5870000000000001,-0.7,0.114
56,Devin Booker,PHO,2021,31,33.9,0.496,0.36200000000000004,3.6,4.4,0.9,0.3,24.9,SG,18.6,0.597,-0.1,0.10300000000000001
63,Mikal Bridges,PHO,2021,35,32.3,0.524,0.42,5.1,2.2,0.7,0.9,13.7,SF,16.9,0.6579999999999999,3.1,0.18
65,Malcolm Brogdon,IND,2021,34,35.6,0.447,0.37799999999999995,4.6,6.2,1.2,0.2,21.2,PG,17.6,0.546,1.2,0.10099999999999999
68,Jaylen Brown,BOS,2021,33,33.8,0.495,0.38799999999999996,5.6,3.9,1.1,0.5,24.7,SG,21.0,0.591,3.3,0.132
77,Jimmy Butler,MIA,2021,22,33.1,0.45399999999999996,0.235,7.5,7.8,1.9,0.4,20.5,SF,25.4,0.5710000000000001,6.8,0.233
97,John Collins,ATL,2021,36,30.7,0.536,0.38799999999999996,7.6,1.4,0.4,1.0,18.0,PF,19.4,0.625,1.5,0.157
