,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
1,Bam Adebayo,MIA,2020,72,33.6,0.557,0.14300000000000002,10.2,5.1,1.1,1.3,15.9,PF,20.3,0.598,3.4,0.168,1
2,LaMarcus Aldridge,SAS,2020,53,33.1,0.493,0.389,7.4,2.4,0.7,1.6,18.9,C,19.7,0.5710000000000001,1.4,0.122,0
12,Giannis Antetokounmpo,MIL,2020,63,30.4,0.5529999999999999,0.304,13.6,5.6,1.0,1.0,29.5,PF,31.9,0.613,11.5,0.27899999999999997,1
15,Carmelo Anthony,POR,2020,58,32.8,0.43,0.385,6.3,1.5,0.8,0.5,15.4,PF,12.4,0.525,-3.6,0.033,1
20,Deandre Ayton,PHO,2020,38,32.5,0.546,0.231,11.5,1.9,0.7,1.5,18.2,C,20.0,0.568,0.4,0.121,0
23,Lonzo Ball,NOP,2020,63,32.1,0.40299999999999997,0.375,6.1,7.0,1.4,0.6,11.8,PG,13.1,0.517,0.6,0.057999999999999996,0
26,Harrison Barnes,SAC,2020,72,34.5,0.46,0.381,4.9,2.2,0.6,0.2,14.5,PF,13.3,0.574,-1.3,0.08800000000000001,0
27,RJ Barrett,NYK,2020,56,30.4,0.402,0.32,5.0,2.6,1.0,0.3,14.3,SG,10.7,0.479,-4.3,-0.015,0
28,Will Barton,DEN,2020,58,33.0,0.45,0.375,6.3,3.7,1.1,0.5,15.1,SF,15.6,0.5489999999999999,1.1,0.106,1
34,Bradley Beal,WAS,2020,57,36.0,0.455,0.353,4.2,6.1,1.2,0.4,30.5,SG,23.2,0.579,2.9,0.11800000000000001,0
48,Bojan Bogdanović,UTA,2020,63,33.1,0.447,0.414,4.1,2.1,0.5,0.1,20.2,SF,15.6,0.603,0.1,0.096,1
54,Devin Booker,PHO,2020,70,35.9,0.489,0.354,4.2,6.5,0.7,0.3,26.6,SG,20.6,0.618,2.2,0.14300000000000002,0
64,Miles Bridges,CHO,2020,65,30.7,0.424,0.33,5.6,1.8,0.6,0.7,13.0,SF,12.1,0.52,-2.5,0.039,0
67,Malcolm Brogdon,IND,2020,54,30.9,0.43799999999999994,0.326,4.9,7.1,0.6,0.2,16.5,PG,17.7,0.541,1.8,0.114,1
71,Jaylen Brown,BOS,2020,57,33.9,0.48100000000000004,0.382,6.4,2.1,1.1,0.4,20.3,SG,16.9,0.583,0.8,0.12300000000000001,1
81,Jimmy Butler,MIA,2020,58,33.8,0.455,0.244,6.7,6.0,1.8,0.6,19.9,SF,23.6,0.585,5.4,0.221,1
86,Clint Capela,HOU,2020,39,32.8,0.629,0.0,13.8,1.2,0.8,1.8,13.9,C,20.6,0.626,1.4,0.184,1
107,John Collins,ATL,2020,41,33.2,0.583,0.401,10.1,1.5,0.8,1.6,21.6,PF,23.5,0.659,3.1,0.174,0
113,Robert Covington,TOT,2020,70,30.5,0.42200000000000004,0.335,6.6,1.3,1.6,1.3,12.4,PF-C,13.3,0.5589999999999999,0.0,0.083,0
122,Anthony Davis,LAL,2020,62,34.4,0.503,0.33,9.3,3.2,1.5,2.3,26.1,PF,27.4,0.61,8.0,0.25,1
