,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
0,Precious Achiuwa,MIA,2021,36,13.8,.582,,4.0,0.6,0.4,0.5,5.9,PF,15.4,.586,-2.8,.108
1,Jaylen Adams,MIL,2021,7,2.6,.125,.000,0.4,0.3,0.0,0.0,0.3,PG,-6.6,.125,-19.8,-0.250
2,Steven Adams,NOP,2021,34,27.8,.614,.000,9.0,2.0,0.9,0.6,8.2,C,16.2,.597,-0.9,.108
3,Bam Adebayo,MIA,2021,33,33.9,.563,.333,9.5,5.4,0.9,1.0,19.2,C,22.0,.631,4.4,.193
4,LaMarcus Aldridge,SAS,2021,21,25.9,.464,.360,4.5,1.7,0.4,0.9,13.7,C,15.0,.545,-1.2,.074
5,Ty-Shon Alexander,PHO,2021,3,2.7,.000,.000,0.3,0.3,0.0,0.0,0.0,SG,-11.9,.000,-21.2,-0.323
6,Nickeil Alexander-Walker,NOP,2021,29,17.9,.407,.307,2.4,1.9,1.0,0.3,8.3,SG,12.1,.507,-2.1,.024
7,Grayson Allen,MEM,2021,23,24.0,.409,.407,2.8,2.2,1.0,0.1,9.3,SG,12.5,.592,-0.2,.110
8,Jarrett Allen,CLE,2021,35,27.9,.669,.500,9.9,1.7,0.5,1.7,13.5,C,23.6,.714,3.4,.219
9,Al-Farouq Aminu,ORL,2021,10,18.4,.340,.316,4.0,1.6,1.0,0.5,4.7,PF,9.4,.436,-4.4,.006
10,Kyle Anderson,MEM,2021,31,27.5,.476,.376,6.1,3.5,1.2,0.7,13.4,PF,17.5,.585,2.9,.142
11,Giannis Antetokounmpo,MIL,2021,36,33.8,.559,.290,11.6,6.0,1.3,1.4,28.9,PF,29.2,.622,8.4,.241
12,Kostas Antetokounmpo,LAL,2021,3,6.3,.333,,2.7,0.0,0.3,0.7,1.0,PF,-0.2,.387,-12.3,-0.202
13,Thanasis Antetokounmpo,MIL,2021,27,8.9,.609,.222,2.1,0.7,0.3,0.2,2.4,SF,11.3,.619,-2.8,.090
14,Carmelo Anthony,POR,2021,35,25.5,.411,.388,3.4,1.4,0.9,0.8,13.9,PF,14.8,.530,-2.2,.057
15,Cole Anthony,ORL,2021,25,26.7,.375,.325,4.4,3.8,0.7,0.4,11.0,PG,10.2,.469,-4.1,-0.008
16,OG Anunoby,TOR,2021,23,33.4,.479,.395,5.7,1.7,1.6,0.7,13.8,SF,13.8,.607,0.2,.097
17,Ryan Arcidiacono,CHI,2021,19,10.8,.404,.333,1.8,1.2,0.3,0.0,3.2,PG,10.1,.545,-2.5,.088
18,D.J. Augustin,MIL,2021,35,19.5,.364,.381,1.4,3.0,0.6,0.0,6.3,PG,10.5,.538,-1.9,.084
19,Deni Avdija,WAS,2021,31,21.6,.442,.370,4.7,1.3,0.7,0.2,6.2,SF,8.5,.551,-3.4,.047
20,Deandre Ayton,PHO,2021,36,30.8,.595,.235,11.2,1.6,0.3,1.1,14.4,C,18.8,.623,-0.4,.172
21,Udoka Azubuike,UTA,2021,12,4.1,.571,,1.1,0.0,0.1,0.3,1.0,C,10.6,.622,-4.3,.107
22,Dwayne Bacon,ORL,2021,37,24.8,.413,.346,2.9,1.0,0.6,0.1,10.4,SG,9.5,.509,-4.9,.026
23,Marvin Bagley III,SAC,2021,35,26.0,.496,.366,7.6,1.0,0.5,0.5,14.0,PF,16.0,.549,-3.5,.052
24,LaMelo Ball,CHO,2021,36,28.9,.444,.374,6.0,6.4,1.6,0.4,15.6,PG,18.3,.556,2.8,.116
25,Lonzo Ball,NOP,2021,34,31.6,.423,.385,4.1,5.1,1.3,0.6,14.4,PG,15.0,.557,0.7,.080
