,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
0,Steven Adams,OKC,2020,63,26.7,.592,.333,9.3,2.3,0.8,1.1,10.9,C,20.5,.604,2.9,.185,1
1,Bam Adebayo,MIA,2020,72,33.6,.557,.143,10.2,5.1,1.1,1.3,15.9,PF,20.3,.598,3.4,.168,1
2,LaMarcus Aldridge,SAS,2020,53,33.1,.493,.389,7.4,2.4,0.7,1.6,18.9,C,19.7,.571,1.4,.122,0
3,Kyle Alexander,MIA,2020,2,6.5,.500,,1.5,0.0,0.0,0.0,1.0,C,4.7,.500,-9.6,-0.003,1
4,Nickeil Alexander-Walker,NOP,2020,47,12.6,.368,.346,1.8,1.9,0.4,0.2,5.7,SG,8.9,.473,-4.6,-0.020,0
5,Grayson Allen,MEM,2020,38,18.9,.466,.404,2.2,1.4,0.3,0.1,8.7,SG,12.0,.609,-1.3,.082,0
6,Jarrett Allen,BRK,2020,70,26.5,.649,.000,9.6,1.6,0.6,1.3,11.1,C,20.7,.664,2.3,.212,1
7,Kadeem Allen,NYK,2020,10,11.7,.432,.313,0.9,2.1,0.5,0.2,5.0,PG,14.0,.512,-0.7,.053,0
8,Al-Farouq Aminu,ORL,2020,18,21.1,.291,.250,4.8,1.2,1.0,0.4,4.3,PF,7.6,.395,-3.0,.014,1
9,Justin Anderson,BRK,2020,10,10.7,.263,.207,2.1,0.8,0.0,0.6,2.8,SG,3.2,.352,-7.7,-0.054,1
10,Kyle Anderson,MEM,2020,67,19.9,.474,.282,4.3,2.4,0.8,0.6,5.8,SF,12.5,.534,0.5,.091,0
11,Ryan Anderson,HOU,2020,2,7.0,.286,.200,3.5,1.0,0.5,0.0,2.5,C,9.4,.357,-2.8,-0.037,1
12,Giannis Antetokounmpo,MIL,2020,63,30.4,.553,.304,13.6,5.6,1.0,1.0,29.5,PF,31.9,.613,11.5,.279,1
13,Kostas Antetokounmpo,LAL,2020,5,4.0,1.000,,0.6,0.4,0.0,0.0,1.4,PF,16.3,.902,-0.7,.193,1
14,Thanasis Antetokounmpo,MIL,2020,20,6.5,.500,.000,1.2,0.8,0.4,0.1,2.8,SF,12.2,.496,-3.2,.070,1
15,Carmelo Anthony,POR,2020,58,32.8,.430,.385,6.3,1.5,0.8,0.5,15.4,PF,12.4,.525,-3.6,.033,1
16,OG Anunoby,TOR,2020,69,29.9,.505,.390,5.3,1.6,1.4,0.7,10.6,SF,13.2,.600,1.2,.134,1
17,Ryan Arcidiacono,CHI,2020,58,16.0,.409,.391,1.9,1.7,0.5,0.1,4.5,PG,9.0,.551,-2.8,.071,0
18,Trevor Ariza,TOT,2020,53,28.2,.438,.372,4.6,1.7,1.3,0.3,8.0,SF,11.0,.593,-0.5,.081,0
19,D.J. Augustin,ORL,2020,57,24.9,.399,.348,2.1,4.6,0.6,0.0,10.5,PG,14.0,.554,-1.6,.098,1
20,Deandre Ayton,PHO,2020,38,32.5,.546,.231,11.5,1.9,0.7,1.5,18.2,C,20.0,.568,0.4,.121,0
21,Dwayne Bacon,CHO,2020,39,17.6,.348,.284,2.6,1.3,0.6,0.1,5.7,SG,6.1,.419,-6.8,-0.053,0
22,Marvin Bagley III,SAC,2020,13,25.7,.467,.182,7.5,0.8,0.5,0.9,14.2,C,15.6,.512,-3.5,.051,0
23,Lonzo Ball,NOP,2020,63,32.1,.403,.375,6.1,7.0,1.4,0.6,11.8,PG,13.1,.517,0.6,.058,0
24,Mo Bamba,ORL,2020,62,14.2,.462,.346,4.9,0.7,0.4,1.4,5.4,C,17.5,.542,0.4,.135,1
25,J.J. Barea,DAL,2020,29,15.5,.411,.376,1.8,3.9,0.2,0.1,7.7,PG,14.6,.512,-1.4,.072,1
26,Harrison Barnes,SAC,2020,72,34.5,.460,.381,4.9,2.2,0.6,0.2,14.5,PF,13.3,.574,-1.3,.088,0
27,RJ Barrett,NYK,2020,56,30.4,.402,.320,5.0,2.6,1.0,0.3,14.3,SG,10.7,.479,-4.3,-0.015,0
28,Will Barton,DEN,2020,58,33.0,.450,.375,6.3,3.7,1.1,0.5,15.1,SF,15.6,.549,1.1,.106,1
29,Keita Bates-Diop,TOT,2020,44,16.9,.427,.330,2.9,0.7,0.4,0.5,6.5,PF-SF,12.4,.539,-1.4,.078,0
30,Nicolas Batum,CHO,2020,22,23.0,.346,.286,4.5,3.0,0.8,0.4,3.6,SF,9.2,.463,-1.9,.055,0
31,Aron Baynes,PHO,2020,42,22.2,.480,.351,5.6,1.6,0.2,0.5,11.5,C,15.2,.581,-1.0,.107,0
