,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
1,Jaylen Adams,MIL,2021,7,2.6,0.125,0.0,0.4,0.3,0.0,0.0,0.3,PG,-6.6,0.125,-19.8,-0.25
5,Ty-Shon Alexander,PHO,2021,3,2.7,0.0,0.0,0.3,0.3,0.0,0.0,0.0,SG,-11.9,0.0,-21.2,-0.32
12,Kostas Antetokounmpo,LAL,2021,3,6.3,0.33299999999999996,0.0,2.7,0.0,0.3,0.7,1.0,PF,-0.2,0.387,-12.3,-0.20199999999999999
13,Thanasis Antetokounmpo,MIL,2021,26,8.7,0.605,0.222,2.1,0.7,0.3,0.2,2.3,SF,11.4,0.616,-2.8,0.08800000000000001
21,Udoka Azubuike,UTA,2021,12,4.1,0.5710000000000001,0.0,1.1,0.0,0.1,0.3,1.0,C,10.6,0.622,-4.3,0.107
26,Mo Bamba,ORL,2021,17,9.5,0.522,0.368,3.8,0.2,0.2,0.8,4.8,C,20.4,0.5820000000000001,0.5,0.141
31,Keita Bates-Diop,SAS,2021,14,7.6,0.355,0.35700000000000004,1.4,0.5,0.4,0.1,2.4,SF,12.6,0.49200000000000005,-0.5,0.102
43,Tyler Bey,DAL,2021,4,3.3,0.4,0.0,0.8,0.0,0.0,0.3,1.5,SF,14.0,0.444,-4.5,0.068
45,Goga Bitadze,IND,2021,16,9.3,0.511,0.133,2.0,0.3,0.2,0.9,3.8,C,14.1,0.569,-2.9,0.09300000000000001
49,Keljin Blevins,POR,2021,9,5.2,0.182,0.0,0.2,0.4,0.2,0.0,0.4,SF,-3.6,0.182,-14.1,-0.191
52,Bol Bol,DEN,2021,15,5.6,0.5,0.5,0.7,0.3,0.1,0.3,1.9,PF,8.0,0.612,-3.8,-0.001
53,Marques Bolden,CLE,2021,6,4.8,0.33299999999999996,0.0,1.0,0.0,0.3,0.3,1.2,C,13.4,0.537,-2.8,0.067
58,Brian Bowen,IND,2021,1,5.0,0.5,0.0,1.0,0.0,0.0,0.0,3.0,SF,17.7,0.615,-1.8,0.155
61,Jarrell Brantley,UTA,2021,10,2.8,0.4,0.429,0.7,0.0,0.1,0.1,1.1,PF,11.7,0.55,-1.3,0.10300000000000001
62,Ignas Brazdeikis,NYK,2021,4,1.8,0.0,0.0,0.5,0.3,0.0,0.0,0.5,SF,11.3,0.532,-4.8,0.032
69,Moses Brown,OKC,2021,7,4.4,0.7,0.0,2.1,0.4,0.1,0.6,3.0,C,33.7,0.65,9.1,0.348
78,Bruno Caboclo,HOU,2021,6,6.0,0.47100000000000003,0.0,2.3,0.2,0.0,0.3,2.8,PF,9.2,0.475,-10.6,-0.068
79,Devontae Cacok,LAL,2021,4,4.3,1.0,0.0,1.3,0.0,0.5,0.0,2.0,PF,21.0,0.82,6.2,0.11
82,Vlatko Čančar,DEN,2021,20,6.1,0.39299999999999996,0.214,1.4,0.3,0.4,0.1,1.5,PF,7.6,0.49,-3.5,0.011000000000000001
84,Vernon Carey Jr.,CHO,2021,3,2.0,0.33299999999999996,0.0,1.0,0.3,0.0,0.3,1.0,C,29.7,0.387,7.4,0.198
90,Chris Chiozza,BRK,2021,15,9.1,0.36200000000000004,0.391,1.1,2.4,0.3,0.3,3.5,PG,14.2,0.503,-0.8,0.096
96,Amir Coffey,LAC,2021,20,7.7,0.525,0.524,0.8,0.4,0.2,0.0,2.8,SG,10.0,0.637,-2.8,0.061
100,Quinn Cook,LAL,2021,16,3.9,0.462,0.385,0.3,0.3,0.1,0.1,2.1,PG,14.1,0.585,-1.1,0.10800000000000001
101,Tyler Cook,BRK,2021,4,4.3,0.33299999999999996,0.0,0.5,0.5,0.0,0.0,0.5,PF,1.6,0.33299999999999996,-6.8,-0.046
