,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
3,Kyle Alexander,MIA,2020,2,6.5,0.5,0.0,1.5,0.0,0.0,0.0,1.0,C,4.7,0.5,-9.6,-0.003,1
11,Ryan Anderson,HOU,2020,2,7.0,0.28600000000000003,0.2,3.5,1.0,0.5,0.0,2.5,C,9.4,0.35700000000000004,-2.8,-0.037000000000000005,1
13,Kostas Antetokounmpo,LAL,2020,5,4.0,1.0,0.0,0.6,0.4,0.0,0.0,1.4,PF,16.3,0.902,-0.7,0.193,1
14,Thanasis Antetokounmpo,MIL,2020,20,6.5,0.5,0.0,1.2,0.8,0.4,0.1,2.8,SF,12.2,0.496,-3.2,0.07,1
37,Jordan Bell,TOT,2020,29,8.8,0.522,0.33299999999999996,2.8,0.6,0.1,0.3,3.2,C,13.9,0.5770000000000001,-2.5,0.07,0
43,Goga Bitadze,IND,2020,54,8.7,0.467,0.19,2.0,0.4,0.2,0.7,3.2,C,12.1,0.523,-2.3,0.067,1
50,Jonah Bolden,TOT,2020,7,6.7,0.364,0.0,1.3,0.0,0.4,0.3,1.4,C,4.9,0.392,-8.8,-0.006,0
51,Marques Bolden,CLE,2020,1,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,C,19.8,0.0,5.4,0.282,0
52,Jordan Bone,DET,2020,10,5.3,0.25,0.2,0.4,0.8,0.1,0.0,1.2,PG,0.8,0.3,-11.9,-0.11699999999999999,0
56,Brian Bowen,IND,2020,6,5.2,0.3,0.0,1.2,0.0,0.0,0.2,1.0,SF,0.1,0.3,-10.7,-0.107,1
61,Ignas Brazdeikis,NYK,2020,9,5.9,0.273,0.111,0.6,0.4,0.0,0.1,1.9,SF,3.2,0.35100000000000003,-9.0,-0.10800000000000001,0
62,Corey Brewer,SAC,2020,5,6.6,0.5,0.0,1.6,0.4,0.8,0.0,1.0,PF,8.7,0.47,-3.1,0.064,0
65,Oshae Brissett,TOR,2020,19,7.1,0.361,0.2,1.4,0.4,0.2,0.1,1.9,SF,6.7,0.45799999999999996,-5.4,0.043,1
70,Charlie Brown,ATL,2020,10,4.0,0.316,0.33299999999999996,0.4,0.2,0.2,0.2,2.0,SG,11.0,0.47200000000000003,-2.5,-0.027999999999999997,0
72,Moses Brown,POR,2020,9,3.7,0.4,0.0,1.6,0.1,0.1,0.1,1.2,C,6.7,0.40700000000000003,-10.0,-0.065,1
80,Deonte Burton,OKC,2020,39,9.1,0.344,0.18899999999999997,1.5,0.4,0.2,0.3,2.7,SF,4.3,0.396,-6.8,-0.067,1
82,Bruno Caboclo,TOT,2020,30,8.1,0.42700000000000005,0.182,2.0,0.4,0.5,0.6,3.0,C,14.1,0.484,-2.1,0.076,0
83,Devontae Cacok,LAL,2020,1,9.0,0.5,0.0,5.0,1.0,0.0,0.0,6.0,C,28.6,0.5,0.2,0.226,1
85,Vlatko Čančar,DEN,2020,14,3.2,0.4,0.16699999999999998,0.7,0.2,0.1,0.1,1.2,PF,11.4,0.507,-4.6,0.062,1
94,Tyson Chandler,HOU,2020,26,8.4,0.778,0.0,2.5,0.2,0.2,0.3,1.3,C,10.8,0.7170000000000001,-1.5,0.131,1
96,Joe Chealey,CHO,2020,4,8.3,0.0,0.0,0.0,0.3,1.0,0.0,0.5,PG,-2.9,0.127,-12.5,-0.188,0
104,Chris Clemons,HOU,2020,33,8.8,0.401,0.34600000000000003,0.9,0.8,0.3,0.2,4.9,SG,13.1,0.5479999999999999,-1.0,0.057999999999999996,1
105,Antonius Cleveland,DAL,2020,11,4.2,0.28600000000000003,0.0,0.6,0.1,0.1,0.3,1.0,SG,2.5,0.34,-10.1,-0.076,1
106,Amir Coffey,LAC,2020,18,8.8,0.426,0.316,0.9,0.8,0.3,0.1,3.2,SG,8.5,0.493,-4.1,0.040999999999999995,1
112,Tyler Cook,TOT,2020,13,4.2,0.667,0.0,1.1,0.1,0.2,0.0,1.8,PF-SF,19.4,0.741,-0.4,0.182,0
116,Jamal Crawford,BRK,2020,1,6.0,0.5,0.5,0.0,3.0,0.0,0.0,5.0,SG,33.2,0.625,15.0,0.49200000000000005,1
140,Jared Dudley,LAL,2020,45,8.1,0.4,0.429,1.2,0.6,0.3,0.1,1.5,PF,7.8,0.5579999999999999,-0.8,0.102,1
142,Carsen Edwards,BOS,2020,37,9.5,0.32799999999999996,0.316,1.3,0.6,0.3,0.1,3.3,SG,6.9,0.444,-4.6,0.013999999999999999,1
143,Henry Ellenson,BRK,2020,5,3.0,0.14300000000000002,0.0,1.2,0.2,0.0,0.0,0.4,C,-1.3,0.14300000000000002,-10.9,-0.183,1
150,Tacko Fall,BOS,2020,7,4.7,0.7859999999999999,0.0,2.1,0.1,0.1,0.6,3.3,C,28.4,0.7509999999999999,6.5,0.223,1
160,Melvin Frazier,ORL,2020,19,6.6,0.441,0.5,0.5,0.2,0.5,0.1,2.1,SG,9.8,0.5589999999999999,-2.3,0.057,1
164,Wenyen Gabriel,TOT,2020,30,7.8,0.43799999999999994,0.3,1.7,0.3,0.4,0.2,2.1,PF,9.6,0.546,-3.8,0.048,0
187,Javonte Green,BOS,2020,48,9.8,0.5,0.273,1.9,0.5,0.5,0.2,3.4,SG,13.1,0.564,-0.7,0.113,1
191,Kyle Guy,SAC,2020,3,3.3,0.4,0.0,0.3,0.3,0.0,0.0,1.3,SG,6.6,0.4,-12.3,-0.045,0
193,Devon Hall,OKC,2020,11,7.4,0.2,0.235,0.6,1.2,0.4,0.1,1.8,PG,3.1,0.298,-6.4,-0.11599999999999999,1
195,Dusty Hannahs,MEM,2020,2,6.5,0.444,0.667,0.5,0.0,0.0,0.0,6.0,SG,21.3,0.607,3.1,0.146,0
199,Jared Harper,PHO,2020,3,2.7,0.25,0.0,0.0,0.0,0.0,0.0,0.7,PG,-5.3,0.25,-15.7,-0.249,0
211,Dewan Hernandez,TOR,2020,6,4.7,0.35700000000000004,0.5,2.3,0.5,0.2,0.0,2.3,C,12.9,0.43200000000000005,-9.6,0.043,1
215,Kevin Hervey,OKC,2020,10,5.2,0.259,0.15,1.2,0.5,0.1,0.1,1.7,PF,5.0,0.315,-5.1,-0.085,1
220,Jaylen Hoard,POR,2020,13,7.9,0.469,0.0,2.5,0.3,0.4,0.0,2.9,PF,14.9,0.504,-1.9,0.09300000000000001,1
231,William Howard,HOU,2020,2,6.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,PF,-12.7,0.0,-19.6,-0.35700000000000004,1
248,Justin James,SAC,2020,36,6.4,0.41700000000000004,0.31,0.9,0.5,0.2,0.3,2.5,SF,11.0,0.47700000000000004,-1.4,0.027999999999999997,0
250,Amile Jefferson,ORL,2020,18,4.1,0.35700000000000004,0.0,1.3,0.2,0.1,0.2,0.8,PF,8.9,0.37200000000000005,-5.8,0.023,1
253,Alize Johnson,IND,2020,17,6.9,0.414,0.375,2.8,0.4,0.2,0.1,2.0,PF,13.3,0.509,-1.5,0.111,1
254,B.J. Johnson,ORL,2020,10,8.3,0.281,0.33299999999999996,1.5,0.3,0.3,0.0,3.0,SF,5.4,0.41200000000000003,-9.0,-0.07400000000000001,1
258,Stanley Johnson,TOR,2020,25,6.0,0.373,0.292,1.5,0.8,0.2,0.2,2.4,PF,9.9,0.45399999999999996,-2.6,0.013999999999999999,1
266,Mfiondu Kabengele,LAC,2020,12,5.3,0.43799999999999994,0.45,0.9,0.2,0.2,0.2,3.5,C,18.2,0.614,2.2,0.17300000000000001,1
270,Stanton Kidd,UTA,2020,4,3.8,0.0,0.0,0.8,0.3,0.0,0.0,0.0,SG,-13.7,0.0,-17.0,-0.327,1
272,Louis King,DET,2020,10,6.2,0.381,0.364,1.0,0.5,0.2,0.0,2.0,SF,6.2,0.44799999999999995,-6.2,-0.006999999999999999,0
276,John Konchar,MEM,2020,19,9.5,0.649,0.5,2.5,1.2,0.4,0.2,2.8,SG,18.0,0.713,4.5,0.182,0
286,Vic Law,ORL,2020,8,7.8,0.33299999999999996,0.14300000000000002,1.4,0.4,0.3,0.0,1.9,PF,3.7,0.363,-9.6,-0.052000000000000005,1
288,T.J. Leaf,IND,2020,28,7.9,0.419,0.278,2.5,0.3,0.4,0.1,3.0,PF,12.9,0.451,-2.4,0.061,1
289,Jalen Lecque,PHO,2020,5,6.4,0.4,0.0,0.4,0.4,0.0,0.0,2.0,SG,2.7,0.46,-10.0,-0.065,0
305,Daryl Macon,MIA,2020,4,3.5,0.33299999999999996,0.5,0.0,0.3,0.0,0.0,0.8,PG,-3.1,0.5,-11.4,-0.161,1
306,J.P. Macura,CLE,2020,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SG,0.0,0.0,-6.4,-0.022000000000000002,0
307,Josh Magette,ORL,2020,8,4.8,0.33299999999999996,0.25,0.8,0.6,0.4,0.1,1.5,PG,5.1,0.37799999999999995,-6.2,-0.127,1
310,Terance Mann,LAC,2020,41,8.8,0.46799999999999997,0.35,1.3,1.3,0.3,0.1,2.4,SF,10.6,0.545,-1.6,0.106,1
311,Boban Marjanović,DAL,2020,44,9.6,0.573,0.235,4.5,0.5,0.2,0.2,6.6,C,25.7,0.612,1.2,0.2,1
320,Luc Mbah a Moute,HOU,2020,3,8.3,0.4,0.0,0.7,0.0,0.7,0.0,1.7,PF,6.4,0.425,-7.4,-0.008,1
334,Chimezie Metu,SAS,2020,18,5.8,0.5710000000000001,0.0,1.8,0.6,0.2,0.3,3.2,C,22.2,0.608,1.8,0.13,0
338,Malcolm Miller,TOR,2020,28,5.8,0.414,0.364,0.6,0.4,0.2,0.1,1.3,SF,6.7,0.5379999999999999,-2.3,0.08199999999999999,1
343,Naz Mitrou-Long,IND,2020,5,9.4,0.353,0.16699999999999998,1.4,1.6,0.2,0.2,2.8,SG,7.8,0.41200000000000003,-1.4,-0.022000000000000002,1
346,Matt Mooney,CLE,2020,4,4.8,0.25,0.0,0.8,0.3,0.5,0.3,0.5,SG,8.1,0.25,-0.4,0.006999999999999999,0
349,Juwan Morgan,UTA,2020,21,6.4,0.5770000000000001,0.375,1.4,0.3,0.0,0.1,1.7,PF,10.1,0.648,-3.2,0.106,1
353,Johnathan Motley,LAC,2020,13,3.2,0.733,1.0,0.8,0.6,0.2,0.0,2.2,PF,28.5,0.774,8.1,0.299,1
365,Malik Newman,CLE,2020,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,SG,-11.4,0.34700000000000003,-25.7,-0.502,0
369,Zach Norvell,TOT,2020,5,8.2,0.25,0.375,1.2,0.6,0.4,0.0,2.0,SG,2.6,0.402,-8.4,-0.084,0
381,KZ Okpala,MIA,2020,5,5.2,0.6,0.0,1.0,0.2,0.4,0.2,1.4,PF,13.7,0.595,2.7,0.11800000000000001,1
387,Tariq Owens,PHO,2020,3,5.0,0.2,0.0,1.0,0.0,0.3,0.0,1.3,PF,8.4,0.34,-5.8,0.021,0
394,Justin Patton,OKC,2020,5,4.8,0.4,0.25,1.0,0.4,0.0,0.0,1.8,C,4.7,0.45,-10.1,-0.063,1
399,Norvel Pelle,PHI,2020,24,9.7,0.521,0.0,3.0,0.3,0.1,1.3,2.4,C,10.5,0.526,-5.2,0.069,1
403,Vincent Poirier,BOS,2020,22,5.9,0.47200000000000003,0.5,2.0,0.4,0.1,0.4,1.9,C,12.7,0.525,-3.8,0.113,1
404,Shamorie Ponds,TOR,2020,4,2.8,0.6,0.5,0.3,0.5,0.0,0.3,2.3,PG,33.1,0.765,13.7,0.45,1
416,Josh Reaves,DAL,2020,4,7.0,0.33299999999999996,0.0,0.8,0.8,0.0,0.0,2.0,SF,5.8,0.405,-9.9,0.031,1
426,Justin Robinson,WAS,2020,9,5.4,0.41700000000000004,0.6,0.6,0.8,0.0,0.1,1.4,PG,8.2,0.542,-5.7,0.006999999999999999,0
428,Isaiah Roby,OKC,2020,3,3.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,PF,-7.7,0.0,-15.5,-0.188,1
446,Marial Shayok,PHI,2020,4,7.0,0.25,0.33299999999999996,1.8,0.3,0.0,0.3,2.8,SG,1.4,0.4,-13.0,-0.13,1
449,Chris Silva,MIA,2020,44,7.9,0.615,0.0,2.9,0.5,0.2,0.5,3.0,PF,17.3,0.6509999999999999,-2.3,0.17800000000000002,1
452,Alen Smailagić,GSW,2020,14,9.9,0.5,0.231,1.9,0.9,0.2,0.3,4.2,C,14.5,0.61,-2.2,0.081,0
457,Zhaire Smith,PHI,2020,7,4.6,0.273,0.0,0.3,0.3,0.4,0.0,1.1,SF,1.1,0.313,-10.0,-0.12,1
460,Max Strus,CHI,2020,2,3.0,0.667,0.0,0.5,0.0,0.0,0.0,2.5,SF,30.7,0.727,4.4,0.316,0
468,Khyri Thomas,DET,2020,8,7.6,0.294,0.35700000000000004,0.1,0.4,0.4,0.0,2.1,SG,3.1,0.45299999999999996,-7.9,-0.038,0
480,Rayjon Tucker,UTA,2020,20,8.1,0.465,0.17600000000000002,1.0,0.3,0.1,0.1,3.1,SG,9.7,0.584,-6.0,0.063,1
483,Jarrod Uthoff,TOT,2020,7,7.6,0.389,0.33299999999999996,0.9,0.0,0.1,0.0,2.7,PF,8.8,0.503,-4.5,0.018000000000000002,0
486,Jarred Vanderbilt,TOT,2020,11,4.2,0.625,0.0,0.8,0.2,0.3,0.1,1.1,PF,7.6,0.6759999999999999,-6.0,-0.026000000000000002,0
488,Gabe Vincent,MIA,2020,9,9.2,0.21600000000000003,0.222,0.6,0.7,0.6,0.0,2.4,PG,1.2,0.297,-10.4,-0.11699999999999999,1
491,Dean Wade,CLE,2020,12,5.9,0.6920000000000001,0.5,1.6,0.2,0.2,0.3,1.7,PF,13.9,0.7440000000000001,-1.2,0.105,0
497,Derrick Walton,TOT,2020,26,9.5,0.462,0.41700000000000004,0.6,1.0,0.3,0.0,2.0,PG,8.7,0.617,-1.0,0.111,0
501,Yuta Watanabe,MEM,2020,18,5.8,0.441,0.375,1.1,0.3,0.3,0.1,2.0,SF,11.2,0.48,-1.8,0.065,0
503,Paul Watson,TOT,2020,10,8.7,0.385,0.33299999999999996,1.7,0.8,0.4,0.1,3.1,SF,12.6,0.517,-0.4,0.09699999999999999,0
504,Quinndary Weatherspoon,SAS,2020,11,7.1,0.294,0.2,0.6,1.0,0.3,0.1,1.1,SG,3.2,0.336,-7.4,-0.071,0
516,Nigel Williams-Goss,UTA,2020,10,5.0,0.313,0.28600000000000003,0.6,0.6,0.3,0.1,1.4,PG,8.1,0.415,-3.9,0.017,1
518,D.J. Wilson,MIL,2020,37,9.8,0.39399999999999996,0.247,2.5,0.7,0.1,0.1,3.6,PF,8.2,0.475,-4.0,0.046,1
526,Tyler Zeller,SAS,2020,2,2.0,0.25,0.0,2.0,0.0,0.0,0.0,1.0,C,22.4,0.25,-22.4,-0.075,0
535,DeVaughn Akoon-Purcell,DEN,2019,7,3.1,0.3,0.0,0.6,0.9,0.3,0.0,1.0,SG,8.2,0.322,-5.8,-0.051,1
542,Justin Anderson,ATL,2019,48,9.6,0.408,0.312,1.8,0.5,0.5,0.3,3.7,SF,11.2,0.516,-2.7,0.043,0
545,Ike Anigbogu,IND,2019,3,2.0,0.0,0.0,1.0,0.3,0.0,0.3,0.0,C,-6.0,0.0,-16.2,-0.48,1
547,Kostas Antetokounmpo,DAL,2019,2,5.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,PF,-0.9,0.21,-12.7,-0.247,0
557,Wade Baldwin,POR,2019,16,5.9,0.303,0.222,0.9,0.8,0.1,0.1,1.9,PG,1.3,0.396,-10.3,-0.153,1
588,Isaac Bonga,LAL,2019,22,5.5,0.152,0.0,1.1,0.7,0.4,0.2,0.9,PG,6.0,0.24,-4.8,-0.059000000000000004,0
590,Chris Boucher,TOR,2019,28,5.8,0.447,0.324,2.0,0.1,0.2,0.9,3.3,PF,22.2,0.563,2.6,0.19399999999999998,1
603,Lorenzo Brown,TOR,2019,26,8.2,0.324,0.214,1.2,1.1,0.5,0.2,2.1,PG,6.3,0.38,-3.5,-0.027000000000000003,1
