,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
0,Precious Achiuwa,MIA,2021,35,14.0,0.579,0.0,4.0,0.6,0.4,0.5,6.1,PF,15.4,0.5870000000000001,-2.7,0.111
6,Nickeil Alexander-Walker,NOP,2021,28,17.7,0.408,0.306,2.4,1.9,1.0,0.3,8.2,SG,12.4,0.508,-1.8,0.027999999999999997
17,Ryan Arcidiacono,CHI,2021,18,11.0,0.42,0.344,1.8,1.3,0.3,0.0,3.4,PG,11.1,0.565,-1.7,0.10800000000000001
18,D.J. Augustin,MIL,2021,34,19.5,0.35,0.366,1.4,3.0,0.6,0.0,6.1,PG,10.0,0.52,-2.3,0.075
33,Aron Baynes,TOR,2021,33,19.7,0.44,0.243,5.4,1.1,0.3,0.3,6.3,C,9.8,0.498,-4.9,0.045
34,Kent Bazemore,GSW,2021,35,16.8,0.48,0.43799999999999994,3.0,1.6,0.9,0.5,6.6,SF,12.8,0.611,0.4,0.10099999999999999
39,DeAndre' Bembry,TOR,2021,27,16.4,0.57,0.364,2.0,2.0,0.6,0.3,4.4,SF,10.5,0.633,-2.0,0.079
47,Nemanja Bjelica,SAC,2021,19,18.0,0.483,0.33299999999999996,4.2,2.2,0.3,0.1,8.5,PF,15.0,0.589,-1.4,0.07
54,Jordan Bone,ORL,2021,14,14.0,0.426,0.313,1.7,1.3,0.1,0.0,4.0,PG,8.9,0.519,-4.2,0.054000000000000006
55,Isaac Bonga,WAS,2021,22,12.3,0.37799999999999995,0.345,2.0,0.6,0.3,0.2,2.1,SF,5.1,0.503,-5.7,0.021
60,Tony Bradley,PHI,2021,12,10.6,0.564,0.0,4.2,0.5,0.3,0.6,3.9,C,20.8,0.57,1.7,0.218
71,Troy Brown Jr.,WAS,2021,18,13.6,0.365,0.275,2.9,0.9,0.1,0.2,4.2,SF,6.3,0.465,-5.7,-0.015
75,Trey Burke,DAL,2021,34,16.0,0.452,0.396,1.0,1.6,0.6,0.1,7.6,PG,13.9,0.58,-0.2,0.09300000000000001
81,Facundo Campazzo,DEN,2021,30,16.3,0.405,0.379,1.0,2.1,1.0,0.2,5.5,PG,11.7,0.58,-1.4,0.10300000000000001
85,Jevon Carter,PHO,2021,29,10.0,0.35700000000000004,0.298,1.3,1.2,0.4,0.2,2.7,PG,9.9,0.465,0.3,0.087
88,Alex Caruso,LAL,2021,29,19.9,0.428,0.4,2.8,2.4,1.0,0.2,5.8,PG,10.9,0.542,-0.3,0.102
89,Willie Cauley-Stein,DAL,2021,32,17.2,0.636,0.16699999999999998,4.4,0.8,0.3,0.7,5.7,C,14.8,0.654,-1.1,0.149
92,Gary Clark,ORL,2021,30,19.1,0.295,0.27399999999999997,3.2,0.8,0.4,0.2,3.3,SF,5.6,0.431,-5.3,0.012
104,Torrey Craig,MIL,2021,17,11.4,0.395,0.381,2.5,0.8,0.5,0.4,2.5,SF,10.2,0.49,-1.2,0.096
106,Jarrett Culver,MIN,2021,19,19.8,0.42200000000000004,0.22899999999999998,4.7,0.8,0.6,0.4,7.2,SG,9.3,0.478,-6.7,-0.006999999999999999
110,Ed Davis,MIN,2021,19,13.9,0.419,0.0,5.1,1.0,0.5,0.5,2.3,C,12.1,0.462,-3.4,0.114
111,Terence Davis,TOR,2021,30,14.7,0.42200000000000004,0.364,1.9,1.1,0.5,0.2,7.1,SG,11.7,0.5489999999999999,-2.6,0.043
114,Gorgui Dieng,MEM,2021,22,16.9,0.519,0.479,4.5,1.3,0.8,0.6,7.9,C,19.3,0.682,2.6,0.19399999999999998
119,Damyean Dotson,CLE,2021,30,18.8,0.401,0.27899999999999997,1.8,2.2,0.4,0.1,6.8,SG,9.4,0.49200000000000005,-3.5,0.019
121,Sekou Doumbouya,DET,2021,32,13.7,0.355,0.25,2.3,0.7,0.4,0.1,4.2,PF,5.9,0.44,-7.4,-0.018000000000000002
122,PJ Dozier,DEN,2021,21,19.4,0.457,0.392,3.9,1.7,0.5,0.6,7.6,SG,13.8,0.5529999999999999,-0.5,0.105
