,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
4,Nickeil Alexander-Walker,NOP,2020,47,12.6,0.368,0.34600000000000003,1.8,1.9,0.4,0.2,5.7,SG,8.9,0.473,-4.6,-0.02,0
5,Grayson Allen,MEM,2020,38,18.9,0.466,0.40399999999999997,2.2,1.4,0.3,0.1,8.7,SG,12.0,0.609,-1.3,0.08199999999999999,0
10,Kyle Anderson,MEM,2020,67,19.9,0.474,0.282,4.3,2.4,0.8,0.6,5.8,SF,12.5,0.534,0.5,0.091,0
17,Ryan Arcidiacono,CHI,2020,58,16.0,0.409,0.391,1.9,1.7,0.5,0.1,4.5,PG,9.0,0.551,-2.8,0.071,0
21,Dwayne Bacon,CHO,2020,39,17.6,0.348,0.284,2.6,1.3,0.6,0.1,5.7,SG,6.1,0.419,-6.8,-0.053,0
24,Mo Bamba,ORL,2020,62,14.2,0.462,0.34600000000000003,4.9,0.7,0.4,1.4,5.4,C,17.5,0.542,0.4,0.135,1
25,J.J. Barea,DAL,2020,29,15.5,0.41100000000000003,0.376,1.8,3.9,0.2,0.1,7.7,PG,14.6,0.512,-1.4,0.07200000000000001,1
29,Keita Bates-Diop,TOT,2020,44,16.9,0.42700000000000005,0.33,2.9,0.7,0.4,0.5,6.5,PF-SF,12.4,0.539,-1.4,0.078,0
33,Darius Bazley,OKC,2020,61,18.5,0.39399999999999996,0.348,4.0,0.7,0.4,0.7,5.6,PF,9.6,0.49700000000000005,-1.6,0.040999999999999995,1
36,Marco Belinelli,SAS,2020,57,15.5,0.392,0.376,1.7,1.2,0.2,0.0,6.3,SG,10.8,0.532,-2.7,0.046,0
39,Dragan Bender,TOT,2020,16,17.9,0.446,0.349,4.6,1.8,0.3,0.6,6.7,PF-C,10.9,0.545,-3.0,0.052000000000000005,0
42,Khem Birch,ORL,2020,48,19.2,0.51,0.0,4.6,1.0,0.4,0.5,4.4,C,11.7,0.5660000000000001,-2.4,0.11199999999999999,1
44,Bismack Biyombo,CHO,2020,53,19.4,0.5429999999999999,0.0,5.8,0.9,0.2,0.9,7.4,C,16.1,0.57,-2.5,0.113,0
53,Isaac Bonga,WAS,2020,66,18.9,0.504,0.35200000000000004,3.4,1.2,0.7,0.3,5.0,SF,10.2,0.608,-2.8,0.068,0
55,Chris Boucher,TOR,2020,62,13.2,0.47200000000000003,0.322,4.5,0.4,0.4,1.0,6.6,C,20.7,0.5870000000000001,2.0,0.22399999999999998,1
