,name,team,year,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game,player_efficiency,position
0,LeBron James,Los Angeles Lakers,2020,34.6,.493,.348,7.8,10.2,1.2,0.5,3.9,25.3,25.5,PG
1,Anthony Davis,Los Angeles Lakers,2020,34.4,.503,.330,9.3,3.2,1.5,2.3,2.5,26.1,27.4,PF
2,Kentavious Caldwell-Pope,Los Angeles Lakers,2020,25.5,.467,.385,2.1,1.6,0.8,0.2,0.9,9.3,11.0,SG
3,Kyle Kuzma,Los Angeles Lakers,2020,25.0,.436,.316,4.5,1.3,0.5,0.4,1.5,12.8,12.2,PF
4,Danny Green,Los Angeles Lakers,2020,24.8,.416,.367,3.3,1.3,1.3,0.5,0.9,8.0,10.8,SG
5,Avery Bradley,Los Angeles Lakers,2020,24.2,.444,.364,2.3,1.3,0.9,0.1,1.0,8.6,8.9,SG
6,Dion Waiters,Los Angeles Lakers,2020,23.6,.425,.233,1.9,2.4,0.6,0.6,1.9,11.9,11.0,SG
7,Rajon Rondo,Los Angeles Lakers,2020,20.5,.418,.328,3.0,5.0,0.8,0.0,1.9,7.1,12.4,PG
8,Dwight Howard,Los Angeles Lakers,2020,18.9,.729,.600,7.3,0.7,0.4,1.1,1.2,7.5,18.7,C
9,Alex Caruso,Los Angeles Lakers,2020,18.4,.412,.333,1.9,1.9,1.1,0.3,0.8,5.5,10.8,PG
10,JaVale McGee,Los Angeles Lakers,2020,16.6,.637,.500,5.7,0.5,0.5,1.4,0.8,6.6,19.4,C
11,Markieff Morris,Los Angeles Lakers,2020,14.2,.406,.333,3.2,0.6,0.4,0.4,0.4,5.3,11.5,PF
12,Talen Horton-Tucker,Los Angeles Lakers,2020,13.5,.467,.308,1.2,1.0,1.3,0.2,1.0,5.7,12.3,SG
13,J.R. Smith,Los Angeles Lakers,2020,13.2,.318,.091,0.8,0.5,0.2,0.0,0.7,2.8,0.0,SG
14,Quinn Cook,Los Angeles Lakers,2020,11.5,.425,.365,1.2,1.1,0.3,0.0,0.8,5.1,10.0,PG
15,Troy Daniels,Los Angeles Lakers,2020,11.1,.392,.357,1.1,0.3,0.2,0.1,0.2,4.2,9.0,SG
16,Devontae Cacok,Los Angeles Lakers,2020,9.0,.500,,5.0,1.0,0.0,0.0,0.0,6.0,28.6,C
17,Jared Dudley,Los Angeles Lakers,2020,8.1,.400,.429,1.2,0.6,0.3,0.1,0.2,1.5,7.8,PF
18,Kostas Antetokounmpo,Los Angeles Lakers,2020,4.0,1.000,,0.6,0.4,0.0,0.0,0.2,1.4,16.3,PF
19,Zach Norvell,Los Angeles Lakers,2020,2.5,.000,,0.5,0.0,0.0,0.0,0.0,0.0,-5.6,SG
20,Kawhi Leonard,Toronto Raptors,2019,34.0,.496,.371,7.3,3.3,1.8,0.4,2.0,26.6,25.8,SF
21,Kyle Lowry,Toronto Raptors,2019,34.0,.411,.347,4.8,8.7,1.4,0.5,2.8,14.2,16.5,PG
22,Pascal Siakam,Toronto Raptors,2019,31.9,.549,.369,6.9,3.1,0.9,0.7,1.9,16.9,18.7,PF
23,Danny Green,Toronto Raptors,2019,27.7,.465,.455,4.0,1.6,0.9,0.7,0.9,10.3,13.0,SG
24,Fred VanVleet,Toronto Raptors,2019,27.5,.410,.378,2.6,4.8,0.9,0.3,1.3,11.0,13.7,PG
25,Serge Ibaka,Toronto Raptors,2019,27.2,.529,.290,8.1,1.3,0.4,1.4,1.5,15.0,18.7,C
26,Marc Gasol,Toronto Raptors,2019,24.9,.465,.442,6.6,3.9,0.9,0.9,1.4,9.1,16.0,C
27,OG Anunoby,Toronto Raptors,2019,20.2,.453,.332,2.9,0.7,0.7,0.3,0.8,7.0,9.8,SF
28,Jeremy Lin,Toronto Raptors,2019,18.8,.374,.200,2.6,2.2,0.4,0.3,1.1,7.0,8.2,PG
29,Jonas Valančiūnas,Toronto Raptors,2019,18.8,.575,.300,7.2,1.0,0.4,0.8,1.3,12.8,24.4,C
30,Norman Powell,Toronto Raptors,2019,18.8,.483,.400,2.3,1.5,0.7,0.2,1.1,8.6,13.3,SG
31,Delon Wright,Toronto Raptors,2019,18.3,.433,.333,2.6,2.2,0.9,0.3,0.8,6.9,14.5,PG
32,C.J. Miles,Toronto Raptors,2019,14.1,.340,.314,1.7,0.6,0.5,0.3,0.5,5.5,8.0,SF
33,Patrick McCaw,Toronto Raptors,2019,13.2,.444,.333,1.7,1.0,0.8,0.1,0.5,2.7,8.7,SG
34,Jodie Meeks,Toronto Raptors,2019,13.0,.538,.444,1.5,1.0,0.1,0.1,0.3,6.4,16.0,SG
35,Greg Monroe,Toronto Raptors,2019,11.1,.460,.000,4.1,0.4,0.3,0.2,0.8,4.8,13.5,C
36,Eric Moreland,Toronto Raptors,2019,9.5,.429,1.000,4.3,1.0,0.3,0.3,1.3,1.8,7.1,PF
37,Lorenzo Brown,Toronto Raptors,2019,8.2,.324,.214,1.2,1.1,0.5,0.2,0.6,2.1,6.3,PG
38,Malcolm Miller,Toronto Raptors,2019,6.7,.423,.476,0.5,0.1,0.1,0.1,0.1,3.5,13.7,SF
39,Chris Boucher,Toronto Raptors,2019,5.8,.447,.324,2.0,0.1,0.2,0.9,0.3,3.3,22.2,PF
40,Malachi Richardson,Toronto Raptors,2019,4.7,.310,.320,0.6,0.0,0.0,0.0,0.4,1.4,0.9,SG
41,Jordan Loyd,Toronto Raptors,2019,4.6,.444,.500,0.8,0.5,0.0,0.0,0.2,2.4,16.3,PG
42,Klay Thompson,Golden State Warriors,2018,34.3,.488,.440,3.8,2.5,0.8,0.5,1.8,20.0,16.0,SG
43,Kevin Durant,Golden State Warriors,2018,34.2,.516,.419,6.8,5.4,0.7,1.8,3.0,26.4,26.0,SF
44,Draymond Green,Golden State Warriors,2018,32.7,.454,.301,7.6,7.3,1.4,1.3,2.9,11.0,16.1,PF
45,Stephen Curry,Golden State Warriors,2018,32.0,.495,.423,5.1,6.1,1.6,0.2,3.0,26.4,28.2,PG
46,Andre Iguodala,Golden State Warriors,2018,25.3,.463,.282,3.8,3.3,0.8,0.6,1.0,6.0,11.2,SF
47,Quinn Cook,Golden State Warriors,2018,22.4,.484,.442,2.5,2.7,0.4,0.0,1.0,9.5,12.8,PG
48,Nick Young,Golden State Warriors,2018,17.4,.412,.377,1.6,0.5,0.5,0.1,0.5,7.3,10.0,SG
49,Patrick McCaw,Golden State Warriors,2018,16.9,.409,.238,1.4,1.4,0.8,0.2,0.7,4.0,7.4,SG
50,Shaun Livingston,Golden State Warriors,2018,15.9,.501,.000,1.8,2.0,0.5,0.3,0.8,5.5,11.6,PG
51,Jordan Bell,Golden State Warriors,2018,14.2,.627,.000,3.6,1.8,0.6,1.0,0.9,4.6,18.0,C
52,Zaza Pachulia,Golden State Warriors,2018,14.1,.564,.000,4.7,1.6,0.6,0.2,1.0,5.4,17.0,C
53,Omri Casspi,Golden State Warriors,2018,14.0,.580,.455,3.8,1.0,0.3,0.4,0.7,5.7,15.5,SF
54,Kevon Looney,Golden State Warriors,2018,13.8,.580,.200,3.3,0.6,0.5,0.8,0.5,4.0,14.8,C
55,David West,Golden State Warriors,2018,13.7,.571,.375,3.3,1.9,0.6,1.0,1.1,6.8,20.9,C
56,JaVale McGee,Golden State Warriors,2018,9.5,.621,.000,2.6,0.5,0.3,0.9,0.4,4.8,22.3,C
57,Damian Jones,Golden State Warriors,2018,5.9,.500,,0.9,0.1,0.1,0.2,0.3,1.7,6.8,C
58,Chris Boucher,Golden State Warriors,2018,1.0,.000,.000,1.0,0.0,0.0,0.0,0.0,0.0,-28.5,PF
59,Klay Thompson,Golden State Warriors,2017,34.0,.468,.414,3.7,2.1,0.8,0.5,1.6,22.3,17.4,SG
60,Stephen Curry,Golden State Warriors,2017,33.4,.468,.411,4.5,6.6,1.8,0.2,3.0,25.3,24.6,PG
61,Kevin Durant,Golden State Warriors,2017,33.4,.537,.375,8.3,4.8,1.1,1.6,2.2,25.1,27.6,PF
62,Draymond Green,Golden State Warriors,2017,32.5,.418,.308,7.9,7.0,2.0,1.4,2.4,10.2,16.5,PF
63,Andre Iguodala,Golden State Warriors,2017,26.3,.528,.362,4.0,3.4,1.0,0.5,0.8,7.6,14.3,SF
64,Matt Barnes,Golden State Warriors,2017,20.5,.422,.346,4.6,2.3,0.6,0.5,1.2,5.7,10.7,SF
65,Zaza Pachulia,Golden State Warriors,2017,18.1,.534,.000,5.9,1.9,0.8,0.5,1.2,6.1,16.1,C
66,Shaun Livingston,Golden State Warriors,2017,17.7,.547,.333,2.0,1.8,0.5,0.3,0.8,5.1,10.1,PG
67,Patrick McCaw,Golden State Warriors,2017,15.1,.433,.333,1.4,1.1,0.5,0.2,0.5,4.0,8.6,SG
68,Ian Clark,Golden State Warriors,2017,14.8,.487,.374,1.6,1.2,0.5,0.1,0.7,6.8,13.1,SG
69,David West,Golden State Warriors,2017,12.6,.536,.375,3.0,2.2,0.6,0.7,1.1,4.6,16.6,C
70,JaVale McGee,Golden State Warriors,2017,9.6,.652,.000,3.2,0.2,0.2,0.9,0.5,6.1,25.2,C
71,James Michael McAdoo,Golden State Warriors,2017,8.8,.530,.250,1.8,0.3,0.3,0.6,0.4,2.8,13.1,PF
