,name,year,position
0,Kostas Antetokounmpo,2020,PF
1,Avery Bradley,2020,SG
2,Devontae Cacok,2020,C
3,Kentavious Caldwell-Pope,2020,SG
4,Alex Caruso,2020,PG
5,Quinn Cook,2020,PG
6,Troy Daniels,2020,SG
7,Anthony Davis,2020,PF
8,Jared Dudley,2020,PF
9,Danny Green,2020,SG
10,Talen Horton-Tucker,2020,SG
11,Dwight Howard,2020,C
12,LeBron James,2020,PG
13,Kyle Kuzma,2020,PF
14,JaVale McGee,2020,C
15,Markieff Morris,2020,PF
16,Zach Norvell,2020,SG
17,Rajon Rondo,2020,PG
18,J.R. Smith,2020,SG
19,Dion Waiters,2020,SG
20,OG Anunoby,2019,SF
21,Chris Boucher,2019,PF
22,Lorenzo Brown,2019,PG
23,Marc Gasol,2019,C
24,Danny Green,2019,SG
25,Serge Ibaka,2019,C
26,Kawhi Leonard,2019,SF
27,Jeremy Lin,2019,PG
28,Kyle Lowry,2019,PG
29,Jordan Loyd,2019,PG
30,Patrick McCaw,2019,SG
31,Jodie Meeks,2019,SG
32,C.J. Miles,2019,SF
33,Malcolm Miller,2019,SF
34,Greg Monroe,2019,C
35,Eric Moreland,2019,PF
36,Norman Powell,2019,SG
37,Malachi Richardson,2019,SG
38,Pascal Siakam,2019,PF
39,Jonas Valančiūnas,2019,C
40,Fred VanVleet,2019,PG
41,Delon Wright,2019,PG
42,Jordan Bell,2018,C
43,Chris Boucher,2018,PF
44,Omri Casspi,2018,SF
45,Quinn Cook,2018,PG
46,Stephen Curry,2018,PG
47,Kevin Durant,2018,SF
48,Draymond Green,2018,PF
49,Andre Iguodala,2018,SF
50,Damian Jones,2018,C
51,Shaun Livingston,2018,PG
52,Kevon Looney,2018,C
53,Patrick McCaw,2018,SG
54,JaVale McGee,2018,C
55,Zaza Pachulia,2018,C
56,Klay Thompson,2018,SG
57,David West,2018,C
58,Nick Young,2018,SG
59,Matt Barnes,2017,SF
60,Ian Clark,2017,SG
61,Stephen Curry,2017,PG
62,Kevin Durant,2017,PF
63,Draymond Green,2017,PF
64,Andre Iguodala,2017,SF
65,Damian Jones,2017,C
66,Shaun Livingston,2017,PG
67,Kevon Looney,2017,C
68,James Michael McAdoo,2017,PF
69,Patrick McCaw,2017,SG
70,JaVale McGee,2017,C
71,Zaza Pachulia,2017,C
72,Klay Thompson,2017,SG
73,Anderson Varejão,2017,C
74,Briante Weber,2017,PG
75,David West,2017,C
76,Jared Cunningham,2016,SG
77,Matthew Dellavedova,2016,PG
78,Channing Frye,2016,C
79,Joe Harris,2016,SG
80,Kyrie Irving,2016,PG
81,LeBron James,2016,SF
82,Richard Jefferson,2016,SF
83,Dahntay Jones,2016,SF
84,James Jones,2016,SF
85,Sasha Kaun,2016,C
86,Kevin Love,2016,PF
87,Jordan McRae,2016,PG
88,Timofey Mozgov,2016,C
89,Iman Shumpert,2016,SG
90,J.R. Smith,2016,SG
91,Tristan Thompson,2016,PF
92,Anderson Varejão,2016,C
93,Mo Williams,2016,PG
94,Leandro Barbosa,2015,SG
95,Harrison Barnes,2015,SF
96,Andrew Bogut,2015,C
97,Stephen Curry,2015,PG
98,Festus Ezeli,2015,C
99,Draymond Green,2015,PF
100,Justin Holiday,2015,SG
101,Andre Iguodala,2015,SF
102,Ognjen Kuzmić,2015,C
103,David Lee,2015,PF
104,Shaun Livingston,2015,PG
105,James Michael McAdoo,2015,PF
106,Brandon Rush,2015,SG
107,Marreese Speights,2015,C
108,Klay Thompson,2015,SG
109,Jeff Ayres,2014,PF
110,Aron Baynes,2014,C
111,Marco Belinelli,2014,SF
112,Matt Bonner,2014,PF
113,Shannon Brown,2014,SG
114,Austin Daye,2014,SF
115,Nando De Colo,2014,SF
116,Boris Diaw,2014,PF
117,Tim Duncan,2014,C
118,Manu Ginóbili,2014,SG
119,Danny Green,2014,SG
120,Damion James,2014,SF
121,Othyus Jeffers,2014,SG
122,Cory Joseph,2014,SG
123,Kawhi Leonard,2014,SF
124,Patty Mills,2014,PG
125,Tony Parker,2014,PG
126,Tiago Splitter,2014,C
127,Malcolm Thomas,2014,PF
128,Ray Allen,2013,SG
129,Chris Andersen,2013,C
130,Joel Anthony,2013,C
131,Shane Battier,2013,SF
132,Chris Bosh,2013,C
133,Mario Chalmers,2013,PG
134,Norris Cole,2013,PG
135,Josh Harrellson,2013,C
136,Terrel Harris,2013,SG
137,Udonis Haslem,2013,PF
138,Juwan Howard,2013,PF
139,LeBron James,2013,PF
140,James Jones,2013,SF
141,Rashard Lewis,2013,PF
142,Mike Miller,2013,SF
143,Dexter Pittman,2013,C
144,Jarvis Varnado,2013,PF
145,Dwyane Wade,2013,SG
146,Joel Anthony,2012,C
147,Shane Battier,2012,SF
148,Chris Bosh,2012,PF
149,Mario Chalmers,2012,PG
150,Norris Cole,2012,PG
151,Eddy Curry,2012,C
152,Mickell Gladness,2012,PF
153,Terrel Harris,2012,SG
154,Udonis Haslem,2012,PF
155,Juwan Howard,2012,PF
156,LeBron James,2012,SF
157,James Jones,2012,SG
158,Mike Miller,2012,SG
159,Dexter Pittman,2012,C
160,Ronny Turiaf,2012,C
161,Dwyane Wade,2012,SG
162,Alexis Ajinça,2011,C
163,J.J. Barea,2011,PG
164,Rodrigue Beaubois,2011,PG
165,Corey Brewer,2011,SG
166,Caron Butler,2011,SF
167,Brian Cardinal,2011,SF
168,Tyson Chandler,2011,C
169,Brendan Haywood,2011,C
170,Dominique Jones,2011,SG
171,Jason Kidd,2011,PG
172,Ian Mahinmi,2011,C
173,Shawn Marion,2011,SF
174,Steve Novak,2011,SF
175,Dirk Nowitzki,2011,PF
176,Sasha Pavlović,2011,SF
177,DeShawn Stevenson,2011,SG
178,Peja Stojaković,2011,SF
179,Jason Terry,2011,SG
180,Shannon Brown,2010,SG
181,Kobe Bryant,2010,SG
182,Andrew Bynum,2010,C
183,Jordan Farmar,2010,PG
184,Derek Fisher,2010,PG
185,Pau Gasol,2010,C
186,Didier Ilunga-Mbenga,2010,C
187,Adam Morrison,2010,SF
188,Lamar Odom,2010,PF
189,Josh Powell,2010,PF
190,Sasha Vujačić,2010,SG
191,Luke Walton,2010,SF
192,Metta World Peace,2010,SF
193,Trevor Ariza,2009,SF
194,Shannon Brown,2009,SG
195,Kobe Bryant,2009,SG
196,Andrew Bynum,2009,C
197,Jordan Farmar,2009,PG
198,Derek Fisher,2009,PG
199,Pau Gasol,2009,C
200,Didier Ilunga-Mbenga,2009,C
201,Chris Mihm,2009,C
202,Adam Morrison,2009,SF
203,Lamar Odom,2009,PF
204,Josh Powell,2009,PF
205,Vladimir Radmanović,2009,SF
206,Sasha Vujačić,2009,SG
207,Luke Walton,2009,SF
208,Sun Yue,2009,SG
209,Ray Allen,2008,SG
210,Tony Allen,2008,SG
211,P.J. Brown,2008,PF
212,Sam Cassell,2008,PG
213,Glen Davis,2008,C
214,Kevin Garnett,2008,PF
215,Eddie House,2008,PG
216,Kendrick Perkins,2008,C
217,Paul Pierce,2008,SF
218,Scot Pollard,2008,C
219,James Posey,2008,PF
220,Leon Powe,2008,C
221,Gabe Pruitt,2008,PG
222,Rajon Rondo,2008,PG
223,Brian Scalabrine,2008,PF
224,Brent Barry,2007,SG
225,Matt Bonner,2007,PF
226,Bruce Bowen,2007,SF
227,Jackie Butler,2007,C
228,Tim Duncan,2007,C
229,Francisco Elson,2007,C
230,Melvin Ely,2007,C
231,Michael Finley,2007,SF
232,Manu Ginóbili,2007,SG
233,Robert Horry,2007,PF
234,Fabricio Oberto,2007,C
235,Tony Parker,2007,PG
236,Beno Udrih,2007,PG
237,Jacque Vaughn,2007,PG
238,James White,2007,SG
239,Eric Williams,2007,SF
240,Derek Anderson,2006,SG
241,Shandon Anderson,2006,SF
242,Earl Barron,2006,C
243,Michael Doleac,2006,C
244,Gerald Fitch,2006,PG
245,Udonis Haslem,2006,PF
246,Jason Kapono,2006,SF
247,Alonzo Mourning,2006,C
248,Shaquille O'Neal,2006,C
249,Gary Payton,2006,PG
250,James Posey,2006,SF
251,Wayne Simien,2006,PF
252,Dwyane Wade,2006,SG
253,Antoine Walker,2006,PF
254,Matt Walsh,2006,SG
255,Jason Williams,2006,PG
256,Dorell Wright,2006,SF
257,Brent Barry,2005,SG
258,Bruce Bowen,2005,SF
259,Devin Brown,2005,SG
260,Tim Duncan,2005,PF
261,Manu Ginóbili,2005,SG
262,Dion Glover,2005,SG
263,Robert Horry,2005,PF
264,Linton Johnson,2005,SF
265,Sean Marks,2005,PF
266,Tony Massenburg,2005,PF
267,Nazr Mohammed,2005,C
268,Rasho Nesterović,2005,C
269,Tony Parker,2005,PG
270,Glenn Robinson,2005,SF
271,Malik Rose,2005,PF
272,Beno Udrih,2005,PG
273,Mike Wilks,2005,PG
274,Chucky Atkins,2004,PG
275,Chauncey Billups,2004,PG
276,Elden Campbell,2004,C
277,Hubert Davis,2004,SG
278,Tremaine Fowlkes,2004,SF
279,Darvin Ham,2004,SF
280,Richard Hamilton,2004,SG
281,Lindsey Hunter,2004,SG
282,Mike James,2004,PG
283,Darko Miličić,2004,C
284,Mehmet Okur,2004,PF
285,Tayshaun Prince,2004,SF
286,Željko Rebrača,2004,C
287,Bob Sura,2004,SG
288,Ben Wallace,2004,C
289,Rasheed Wallace,2004,PF
290,Corliss Williamson,2004,PF
291,Mengke Bateer,2003,C
292,Bruce Bowen,2003,SF
293,Devin Brown,2003,SG
294,Speedy Claxton,2003,PG
295,Tim Duncan,2003,PF
296,Danny Ferry,2003,SF
297,Manu Ginóbili,2003,SG
298,Anthony Goldwire,2003,PG
299,Stephen Jackson,2003,SG
300,Steve Kerr,2003,PG
301,Tony Parker,2003,PG
302,David Robinson,2003,C
303,Malik Rose,2003,PF
304,Steve Smith,2003,SG
305,Kevin Willis,2003,C
306,Kobe Bryant,2002,SG
307,Joe Crispin,2002,PG
308,Derek Fisher,2002,PG
309,Rick Fox,2002,SF
310,Devean George,2002,SF
311,Robert Horry,2002,PF
312,Lindsey Hunter,2002,PG
313,Mark Madsen,2002,PF
314,Jelani McCoy,2002,C
315,Stanislav Medvedenko,2002,C
316,Shaquille O'Neal,2002,C
317,Mike Penberthy,2002,PG
318,Mitch Richmond,2002,SG
319,Brian Shaw,2002,PG
320,Samaki Walker,2002,PF
321,Kobe Bryant,2001,SG
322,Derek Fisher,2001,PG
323,Greg Foster,2001,C
324,Rick Fox,2001,SF
325,Devean George,2001,SF
326,Horace Grant,2001,PF
327,Ron Harper,2001,PG
328,Robert Horry,2001,PF
329,Tyronn Lue,2001,PG
330,Mark Madsen,2001,PF
331,Stanislav Medvedenko,2001,PF
332,Shaquille O'Neal,2001,C
333,Mike Penberthy,2001,PG
334,Isaiah Rider,2001,SG
335,Brian Shaw,2001,SG
336,Kobe Bryant,2000,SG
337,John Celestand,2000,PG
338,Derek Fisher,2000,PG
339,Rick Fox,2000,SF
340,Devean George,2000,SF
341,A.C. Green,2000,PF
342,Ron Harper,2000,PG
343,Robert Horry,2000,PF
344,Sam Jacobson,2000,PG
345,Travis Knight,2000,C
346,Tyronn Lue,2000,PG
347,Shaquille O'Neal,2000,C
348,Glen Rice,2000,SF
349,John Salley,2000,C
350,Brian Shaw,2000,SG
351,Antonio Daniels,1999,PG
352,Tim Duncan,1999,PF
353,Mario Elie,1999,SG
354,Sean Elliott,1999,SF
355,Andrew Gaze,1999,SG
356,Jaren Jackson,1999,SG
357,Avery Johnson,1999,PG
358,Steve Kerr,1999,PG
359,Jerome Kersey,1999,SF
360,Gerard King,1999,SF
361,Will Perdue,1999,C
362,David Robinson,1999,C
363,Malik Rose,1999,PF
364,Brandon Williams,1999,SG
365,Keith Booth,1998,SF
366,Randy Brown,1998,PG
367,Jud Buechler,1998,SF
368,Scott Burrell,1998,SF
369,Jason Caffey,1998,PF
370,Ron Harper,1998,PG
371,Michael Jordan,1998,SG
372,Steve Kerr,1998,PG
373,Joe Kleine,1998,C
374,Toni Kukoč,1998,SF
375,Rusty LaRue,1998,PG
376,Luc Longley,1998,C
377,Scottie Pippen,1998,SF
378,Dennis Rodman,1998,PF
379,Dickey Simpkins,1998,PF
380,David Vaughn,1998,PF
381,Bill Wennington,1998,C
382,Randy Brown,1997,PG
383,Jud Buechler,1997,SF
384,Jason Caffey,1997,PF
385,Bison Dele,1997,C
386,Ron Harper,1997,PG
387,Michael Jordan,1997,SG
388,Steve Kerr,1997,PG
389,Toni Kukoč,1997,SF
390,Luc Longley,1997,C
391,Robert Parish,1997,C
392,Scottie Pippen,1997,SF
393,Dennis Rodman,1997,PF
394,Dickey Simpkins,1997,PF
395,Matt Steigenga,1997,SF
396,Bill Wennington,1997,C
397,Randy Brown,1996,PG
398,Jud Buechler,1996,SF
399,Jason Caffey,1996,PF
400,James Edwards,1996,C
401,Jack Haley,1996,C
402,Ron Harper,1996,PG
403,Michael Jordan,1996,SG
404,Steve Kerr,1996,PG
405,Toni Kukoč,1996,SF
406,Luc Longley,1996,C
407,Scottie Pippen,1996,SF
408,Dennis Rodman,1996,PF
409,John Salley,1996,PF
410,Dickey Simpkins,1996,PF
411,Bill Wennington,1996,C
412,Tim Breaux,1995,SF
413,Scott Brooks,1995,PG
414,Chucky Brown,1995,SF
415,Adrian Caldwell,1995,PF
416,Sam Cassell,1995,PG
417,Pete Chilcutt,1995,PF
418,Clyde Drexler,1995,SG
419,Mario Elie,1995,SF
420,Carl Herrera,1995,PF
421,Robert Horry,1995,PF
422,Charles Jones,1995,PF
423,Vernon Maxwell,1995,SG
424,Tracy Murray,1995,SF
425,Hakeem Olajuwon,1995,C
426,Kenny Smith,1995,PG
427,Žan Tabak,1995,C
428,Otis Thorpe,1995,PF
429,Scott Brooks,1994,PG
430,Matt Bullard,1994,PF
431,Sam Cassell,1994,PG
432,Earl Cureton,1994,PF
433,Mario Elie,1994,SF
434,Carl Herrera,1994,PF
435,Robert Horry,1994,SF
436,Chris Jent,1994,SF
437,Vernon Maxwell,1994,SG
438,Hakeem Olajuwon,1994,C
439,Richard Petruška,1994,C
440,Eric Riley,1994,C
441,Larry Robinson,1994,SG
442,Kenny Smith,1994,PG
443,Otis Thorpe,1994,PF
444,B.J. Armstrong,1993,PG
445,Ricky Blanton,1993,SF
446,Bill Cartwright,1993,C
447,Joe Courtney,1993,PF
448,Jo Jo English,1993,SG
449,Horace Grant,1993,PF
450,Michael Jordan,1993,SG
451,Stacey King,1993,C
452,Rodney McCray,1993,SF
453,Ed Nealy,1993,PF
454,John Paxson,1993,PG
455,Will Perdue,1993,C
456,Scottie Pippen,1993,SF
457,Trent Tucker,1993,SG
458,Darrell Walker,1993,PG
459,Corey Williams,1993,PG
460,Scott Williams,1993,PF
461,B.J. Armstrong,1992,PG
462,Bill Cartwright,1992,C
463,Horace Grant,1992,PF
464,Bob Hansen,1992,SG
465,Craig Hodges,1992,SG
466,Dennis Hopson,1992,SG
467,Michael Jordan,1992,SG
468,Stacey King,1992,PF
469,Cliff Levingston,1992,PF
470,Chuck Nevitt,1992,C
471,John Paxson,1992,PG
472,Will Perdue,1992,C
